PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/13/21,1:02:52 PM,1,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Adams, Haddon",1000079326,Right,LIP_BIS,Undefined,1,Top,0,0,0,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,91.32453977,-2.985908681,3.35503412,2308.464045,150.5528209,11:00,5.980729136,-2.085908493,5.688107898,-17.08738187,16.67127337,-9.429793754,1.766908217,0.258410856,83.58311124,-6.170147123,1.591002825,0.418180798,84.09764547,-9.44928585,-22.95334502,,,,,11.02149027,10.75235099,-22.14717955,0.082973022,5.968533815,9.744451723,1.809770274,50,5.718722216,-7.443757021,-132.5197643,-7.513180289,10.627368,27.97861595,-14.82340975,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,54ccb6e0-8426-11eb-ae82-181deafaf045
2,3/13/21,1:03:28 PM,2,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Smith, Carter",1000049348,Left,LIP_BIS,Undefined,1,Top,1,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,91.76399422,-2.360438563,0.531674015,2351.759387,165.2333555,11:30,5.915039971,-2.200348225,5.532862224,-14.43088441,19.29423453,-5.094100189,2.50503333,-2.127934575,83.34859235,-5.056215235,-0.424100896,0.417973034,,,,,,,,,,,,2.874411564,10.99022168,2.15760827,50,5.70086743,-1.057133357,-133.340233,-6.007181292,5.141812957,30.38863856,-12.51448938,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,66b2155e-8426-11eb-ae82-181deafaf045
3,3/13/21,1:03:44 PM,2,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Smith, Carter",1000049348,Left,LIP_BIS,Undefined,1,Top,1,1,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.17417204,-2.280100422,2.01930297,2351.743161,180.5455685,12:00,6.133981319,-1.991062909,5.815432579,-9.228930935,24.39615967,0.232607505,3.242706978,-0.093599748,83.25262759,-4.008310342,2.062970271,0.417352722,,,,,,,,,,,,0.435578488,13.75522718,1.825801075,50,5.941922341,-4.680848641,-132.5373593,-5.591293133,0.774892367,28.29030678,-7.703555085,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,6fa4bef8-8426-11eb-ae82-181deafaf045
4,3/13/21,1:04:00 PM,2,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Smith, Carter",1000049348,Left,LIP_BIS,Undefined,1,Top,1,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,91.59827554,-2.22604789,2.782584935,2337.359985,144.6409094,10:45,5.954585401,-2.146601627,5.796393476,-13.66612236,19.68601105,-13.99122749,2.742007067,-0.72266815,83.68458847,-4.785613307,0.156714272,0.415655305,71.54194757,18.70159221,-170.0218079,3283.934786,,,,,,,,8.285847038,11.19332495,1.926413982,50,5.763415542,-5.993397937,-133.0872443,-5.643464134,14.87394686,28.32978297,-12.08088008,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,7dace23e-8426-11eb-ae82-181deafaf045
5,3/13/21,1:04:23 PM,2,4,"Webb, Ryan",1000027901,Left,GEO_BUL,"Smith, Carter",1000049348,Left,LIP_BIS,Undefined,1,Top,1,1,2,Slider,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,84.00748164,-0.922324198,1.905192737,2548.703942,123.6942668,10:00,5.934915674,-2.152274686,5.532779379,-34.44511197,5.58543294,-8.433266687,2.201923837,-1.073775824,77.0362514,-7.328331439,0.327762332,0.455372992,87.24801426,27.91254063,25.16358849,2189.214481,97.88089599,50.76719168,50.19235191,330.608321,276.6144772,27.87151792,4.45611145,5.027218451,3.234197803,1.992643935,50,5.832226785,-3.78850903,-122.1429455,-3.088526911,7.586422311,24.29913357,-27.29341912,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,8a7cc4d1-8426-11eb-ae82-181deafaf045
6,3/13/21,1:05:01 PM,3,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Bashlor, Chris",8901561,Right,LIP_BIS,Undefined,1,Top,2,0,0,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.7720954,1.477764775,0.672094214,2761.873943,317.7655803,4:30,5.941074189,-2.045464739,5.535849909,-62.19851832,-14.47385842,13.09920946,2.139322047,-0.325724359,70.32489213,-10.18238514,3.15084695,0.497213532,,,,,,,,,,,,-6.783150769,-8.279258927,1.978798665,50,6.029001711,-1.710750908,-112.9067183,1.078830437,-8.532396283,25.4513462,-42.58837082,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,9c621fee-8426-11eb-ae82-181deafaf045
7,3/13/21,1:05:15 PM,3,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Bashlor, Chris",8901561,Right,LIP_BIS,Undefined,1,Top,2,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.46705721,-3.717384706,3.573659399,2440.708904,142.4760727,10:45,6.037583187,-2.025574544,5.794449309,-15.71031622,16.52142784,-12.71157685,1.259453208,0.243105392,85.33632405,-6.652332321,1.188013161,0.408614168,,,,,,,,,,,,7.841823096,9.932818926,1.739367399,50,5.721962433,-8.023188558,-135.4945326,-9.362875542,14.55960401,29.95496193,-13.73217497,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,a554cd02-8426-11eb-ae82-181deafaf045
8,3/13/21,1:05:32 PM,3,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Bashlor, Chris",8901561,Right,LIP_BIS,Undefined,1,Top,2,1,1,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.11849156,-2.018999364,2.042382797,1614.462055,147.2225997,11:00,5.798857411,-2.143970476,5.798445692,-23.37492705,14.42209657,-9.309240391,1.971357361,-1.019571742,78.6870398,-6.392841102,0.291523546,0.4424868,,,,,,,,,,,,5.591057342,8.334937094,1.981895039,50,5.619135662,-4.167690935,-125.1798075,-5.159977129,8.847921629,25.8990101,-18.98390121,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,b4206555-8426-11eb-ae82-181deafaf045
9,3/13/21,1:05:53 PM,3,4,"Webb, Ryan",1000027901,Left,GEO_BUL,"Bashlor, Chris",8901561,Right,LIP_BIS,Undefined,1,Top,2,1,2,ChangeUp,Undefined,InPlay,Undefined,Popup,Out,1,0,,85.20460124,-2.270807275,2.339223383,1773.122653,155.7556873,11:15,5.889154361,-2.057736783,5.619104035,-13.89875316,24.98848088,-11.2699722,2.609146018,-0.8129475,77.64780274,-4.868165559,0.227366915,0.448822939,,,,,,,,,,,,6.686141881,13.99796903,1.865593316,50,5.686632305,-4.690121489,-123.7765846,-5.363844827,10.35223627,25.16100358,-10.50081977,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,c02cd28c-8426-11eb-ae82-181deafaf045
10,3/13/21,1:08:30 PM,1,1,"Habegger, Max",1000026996,Left,LIP_BIS,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Bottom,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.26060814,-0.570624052,2.922939882,2134.36867,144.7127104,10:45,5.977274915,-2.520363653,5.585288825,-20.85192816,17.31143719,-12.27681011,3.706113855,-0.811927479,78.17009644,-4.480337652,0.6184708,0.444625996,,,,,,,,,,,,7.439007492,9.423809243,2.277379956,50,5.914869966,-5.992812488,-125.2861173,-1.935950446,11.7341353,27.10644916,-17.30912836,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,19a794fa-8427-11eb-ae82-181deafaf045
