PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/20/21,1:02:41 PM,1,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Spence, Liam",1000054266,Right,TEN_VOL,Windup,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.07182328,-3.434926349,3.785559741,2347.114401,148.2329567,11:00,6.039448433,-2.209233844,5.658564615,-13.49603974,19.87724985,-12.3280243,1.70114438,0.298291837,83.98535939,-5.953896822,1.478936879,0.415787115,,,,,,,,,,,,7.657244124,11.59927933,1.89673154,50,5.739803309,-8.401050323,-133.4568407,-8.497995812,13.79923125,28.9299835,-11.2708182,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,13826131-899e-11eb-ae89-181deafaf045
2,3/20/21,1:02:56 PM,1,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Spence, Liam",1000054266,Right,TEN_VOL,Windup,1,Top,0,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,79.82204539,0.161525345,0.810458134,2742.887963,328.352297,5:00,5.930968713,-2.332064342,5.18853095,-56.62438361,-11.43740921,7.023288078,1.364219572,-0.984406765,73.31462613,-10.29020282,2.120690207,0.483813687,,,,,,,,,,,,-3.45684378,-6.077896074,2.251753288,50,5.904076718,-1.86873036,-115.9925963,-1.510274512,-4.669331833,23.42642523,-40.38376685,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,1c750cd9-899e-11eb-ae89-181deafaf045
3,3/20/21,1:03:12 PM,1,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Spence, Liam",1000054266,Right,TEN_VOL,Windup,1,Top,0,1,1,Fastball,Undefined,InPlay,Undefined,GroundBall,Error,0,0,,92.70435307,-2.612358132,4.087991682,2373.989427,145.6422713,10:45,5.964546565,-2.368428693,5.797772006,-13.95588689,18.83540866,-12.89754964,2.364212783,0.365015857,84.31207989,-5.230992743,1.666728648,0.412145731,97.33124268,5.621371006,-12.63130679,1475.820215,,,,98.84721701,98.84721701,-14.51301914,0.759482422,8.11654535,10.88694619,2.040127848,50,5.741207049,-9.167111136,-134.4324399,-6.626220454,14.80313223,30.05950242,-12.31819892,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,2567bb00-899e-11eb-ae89-181deafaf045
4,3/20/21,1:03:54 PM,2,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Derkay, Pete",10000756,Left,TEN_VOL,Stretch,1,Top,0,0,0,Fastball,Undefined,InPlay,Undefined,LineDrive,Double,0,0,,91.70733374,-2.617857459,3.200305414,2372.740764,141.3307083,10:45,5.986236894,-2.186049625,5.741006702,-14.8080677,18.67063336,-14.96676597,2.309559442,-0.450767123,83.56712849,-5.390486261,0.391007825,0.416443241,100.2781073,8.154188087,12.77738503,778.1613041,107.4477093,10.70021426,23.55800665,212.3868031,212.3868031,12.42390388,1.810546875,8.942819795,10.76607016,1.92914211,50,5.759345449,-6.931013154,-133.1168303,-6.602536533,16.01268737,29.13706584,-12.89671549,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,403fc0ad-899e-11eb-ae89-181deafaf045
5,3/20/21,1:04:47 PM,3,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Rucker, Jake",1000060114,Right,TEN_VOL,Stretch,1,Top,0,0,0,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.17621297,2.513321534,0.507106522,2840.998754,315.7482368,4:30,6.02481166,-2.188374905,5.300815326,-63.33600356,-14.86085044,14.43328856,3.10757196,-0.50958794,70.27997319,-9.271346824,3.211673011,0.501107743,,,,,,,,,,,,-7.487680386,-8.68158081,2.132152172,50,6.208145132,-1.433887696,-112.0178924,2.975638509,-9.376444408,22.96414613,-43.04555423,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,5b17c889-899e-11eb-ae89-181deafaf045
6,3/20/21,1:05:17 PM,3,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Rucker, Jake",1000060114,Right,TEN_VOL,Stretch,1,Top,0,0,1,ChangeUp,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.52681008,-1.845067936,2.578114908,1548.780785,135.6830411,10:30,5.853889292,-2.292300548,5.656074406,-25.15017977,13.31833241,-13.03983133,2.035251459,-0.973342109,78.31544303,-6.533641762,0.13546118,0.446400028,,,,,,,,,,,,7.692044341,7.637205362,2.082466081,50,5.681886412,-5.172613719,-124.2795359,-4.824017555,12.0289263,24.93516749,-20.23088022,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,6cfd2156-899e-11eb-ae89-181deafaf045
7,3/20/21,1:05:42 PM,3,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Rucker, Jake",1000060114,Right,TEN_VOL,Stretch,1,Top,0,0,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.0879661,-1.948286165,3.076333167,2385.163891,160.1585433,11:15,6.017945346,-2.212465016,5.711654844,-10.95676913,21.60679172,-7.807636247,3.286753751,0.005226794,84.53873113,-4.004184505,1.61062051,0.410712067,,,,,,,,,,,,5.084927172,12.1597134,1.959988878,50,5.848133099,-6.992440322,-135.1700368,-4.986595157,9.36496275,30.71458286,-9.779379133,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,7ee27c5a-899e-11eb-ae89-181deafaf045
8,3/20/21,1:06:16 PM,4,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Gilbert, Drew",1000047534,Left,TEN_VOL,Stretch,1,Top,1,0,0,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,78.68086372,0.481203156,2.808579843,2778.947999,348.726598,5:30,5.939337034,-2.145904248,5.358890628,-66.40049409,-19.36881551,3.852106919,0.857714066,0.810670072,71.49724766,-11.86454548,3.533934585,0.493590461,,,,,,,,,,,,-1.058985129,-10.4863953,1.891105877,50,5.936929525,-5.715219427,-114.0909861,-1.076599453,-1.360150271,25.99051619,-45.6426734,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,90c7d645-899e-11eb-ae89-181deafaf045
9,3/20/21,1:06:38 PM,4,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Gilbert, Drew",1000047534,Left,TEN_VOL,Stretch,1,Top,1,1,0,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.2061462,4.09694625,-1.003804547,2654.011239,330.5013173,5:00,5.961323981,-2.152147873,5.196334999,-65.87864279,-15.80045658,8.912350853,4.331719433,-2.353609976,68.97581332,-8.174441288,0.664861561,0.509325961,,,,,,,,,,,,-5.026589275,-9.653739744,2.238512836,50,6.292829767,1.660727288,-110.4024325,5.88599069,-6.115960235,22.25757975,-43.91996317,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,a2a143bf-899e-11eb-ae89-181deafaf045
10,3/20/21,1:07:05 PM,4,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Gilbert, Drew",1000047534,Left,TEN_VOL,Stretch,1,Top,1,2,0,Slider,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.9113174,-3.04797252,3.38734106,2563.009682,176.0793617,11:45,6.205927811,-2.346602302,5.23388572,-29.23521935,10.47331242,-0.720347741,0.897366483,0.780600591,78.22708138,-8.413704037,3.253942223,0.453537741,,,,,,,,,,,,1.297478883,6.341634638,2.035509723,50,5.903620548,-7.262907789,-123.1264959,-7.576363792,1.996769364,23.87433974,-22.41452034,GEO_BUL,TEN_VOL,UGeorgia,D1,SEC,20210320-UGeorgia-1,b2a78148-899e-11eb-ae89-181deafaf045
