PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/23/21,5:02:27 PM,1,1,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Sherrill, Jesse",1000081988,Left,KEN_OWL,Windup,1,Top,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,89.22308641,-3.663122431,2.611244418,2258.363603,150.6430709,11:00,6.276399721,-0.887210305,4.789313078,-10.26829897,26.47306086,-14.91002625,1.941230264,0.346383776,81.13622324,-5.552131936,-0.142430787,0.436263753,66.52580959,44.41774809,-126.5780725,4333.909098,,,,,,,,8.481912772,14.78415528,0.639445342,50,5.901806982,-5.320387946,-129.2465021,-8.678424098,14.31274309,27.54393012,-7.226631388,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,0db0a795-8c1b-11eb-ae8c-181deafaf045
2,3/23/21,5:02:53 PM,1,2,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Sherrill, Jesse",1000081988,Left,KEN_OWL,Windup,1,Top,0,0,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,5811177d-590e-4e9d-9617-ffb58664dcf8
3,3/23/21,5:02:57 PM,1,3,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Sherrill, Jesse",1000081988,Left,KEN_OWL,Windup,1,Top,0,0,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.90217268,-0.652817978,1.617574365,2215.232874,168.0044323,11:30,6.141245989,-0.762875967,4.753132718,-14.04654798,21.8131801,-4.641934778,4.351412583,0.384517922,82.16940171,-3.236132961,0.763117883,0.430997761,,,,,,,,,,,,2.836171487,11.46351197,0.604616215,50,6.063670199,-3.506518668,-130.6287534,-2.040879163,4.917224486,26.64317274,-12.29913549,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,1f960334-8c1b-11eb-ae8c-181deafaf045
4,3/23/21,5:03:12 PM,1,4,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Sherrill, Jesse",1000081988,Left,KEN_OWL,Windup,1,Top,0,1,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,89.92499176,-2.3607788,2.131300781,2373.549986,144.4413374,10:45,5.970823295,-1.074886521,4.63943978,-14.52164579,21.65241762,-15.502305,2.514643106,-0.34064239,82.03635151,-5.023355238,-0.721095787,0.432882637,64.97351301,40.05667944,-137.4312498,4525.097498,-90.04798446,47.27010298,-63.17702187,184.4071585,45.19939708,-149.1177486,3.277808228,8.587040288,11.82361097,0.870606881,50,5.716192651,-4.238931968,-130.4643826,-5.959699116,14.80588017,27.34814282,-11.78763352,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,2888afc1-8c1b-11eb-ae8c-181deafaf045
5,3/23/21,5:03:28 PM,1,5,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Sherrill, Jesse",1000081988,Left,KEN_OWL,Windup,1,Top,0,1,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.94940834,-1.025382758,1.355650873,2222.79118,175.2043245,11:45,6.15749307,-0.859976232,4.646768843,-12.2752293,23.6481446,-1.9868264,4.159989942,0.262665345,82.31251259,-3.276569884,0.990841622,0.431380071,,,,,,,,,,,,1.382549168,12.45928104,0.723257662,50,6.041801542,-3.013552912,-130.6940846,-2.829915371,2.40255333,26.32970577,-10.52267596,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,37996aba-8c1b-11eb-ae8c-181deafaf045
6,3/23/21,5:03:56 PM,2,1,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Tolve, Tyler",1000055973,Left,KEN_OWL,Windup,1,Top,1,0,0,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,78.14691682,-0.485150553,1.71642015,2533.384969,275.184113,3:15,6.023732716,-0.891283168,4.692818685,-48.6399477,-1.138158997,12.05253065,1.509646499,1.742930375,72.53167624,-9.320854126,3.926200043,0.496051195,,,,,,,,,,,,-5.768749776,-0.459550896,0.706725791,50,5.931863993,-3.818243013,-113.5510913,-2.638982275,-7.569565704,19.81866781,-32.77705629,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,4360b8d1-8c1b-11eb-ae8c-181deafaf045
7,3/23/21,5:04:13 PM,2,2,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Tolve, Tyler",1000055973,Left,KEN_OWL,Windup,1,Top,1,1,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.84136188,-0.572868496,1.069823483,2401.620052,137.489089,10:30,6.073939774,-0.79922049,4.713019205,-21.70476904,14.97560091,-13.75947161,3.721490473,-0.930549575,81.54543451,-4.551421079,-1.458837839,0.435901509,93.44134706,20.33787127,39.7337367,2128.813713,78.97725075,34.56703425,76.56717959,310.7223234,122.5091402,54.3519713,3.235100708,7.385709893,7.883883118,0.703184963,50,5.997138752,-1.873151753,-129.13685,-2.140673861,12.54404951,25.43525058,-18.78389086,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,5302da7e-8c1b-11eb-ae8c-181deafaf045
8,3/23/21,5:04:32 PM,2,3,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Tolve, Tyler",1000055973,Left,KEN_OWL,Windup,1,Top,1,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,90.19895229,-1.593322421,2.06674583,2326.436962,175.663255,11:45,6.087663742,-0.761672437,4.76550153,-10.73364013,24.88875239,-1.889987347,3.681346737,1.040959575,82.51532198,-3.564870483,1.719135692,0.429569127,,,,,,,,,,,,1.528137314,13.30697931,0.556397153,50,5.91888181,-4.652899282,-130.9961569,-4.068576048,2.666459612,26.58640412,-8.954588781,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,5dba6c7b-8c1b-11eb-ae8c-181deafaf045
9,3/23/21,5:05:00 PM,2,4,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Tolve, Tyler",1000055973,Left,KEN_OWL,Windup,1,Top,1,2,1,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.20788814,1.52385172,-0.771993586,2458.727722,281.0750125,3:15,5.998627698,-0.857412461,4.437231521,-51.91850956,-1.75304848,8.715068383,3.125906348,-0.867476421,70.67864591,-7.897343647,0.818029847,0.509769588,,,,,,,,,,,,-4.642029841,-1.271714037,0.930790533,50,6.110456935,1.187794986,-110.7541354,1.132135757,-5.828793291,17.75998256,-33.7708841,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,6e082f23-8c1b-11eb-ae8c-181deafaf045
10,3/23/21,5:05:15 PM,2,5,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Tolve, Tyler",1000055973,Left,KEN_OWL,Windup,1,Top,1,3,1,Fastball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,88.91555907,-1.355866791,1.547284773,2248.033771,172.1119132,11:45,6.132040216,-0.640678447,4.722342518,-10.5995069,25.98955818,-3.605607834,3.961651713,0.527206943,81.55292669,-3.29977079,0.885215184,0.435358647,,,,,,,,,,,,2.260180461,13.77061625,0.487789213,50,5.986036446,-3.349011484,-129.2081944,-3.474202391,3.848504344,25.09893352,-8.726241007,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,76f3b45f-8c1b-11eb-ae8c-181deafaf045
