PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/6/21,1:03:01 PM,1,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sweatt, Aidan",1000098206,Right,NOF_OSP,Windup,1,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,90.96277091,-2.821325062,4.912379269,2339.200117,146.9076883,11:00,5.941083735,-2.34694066,5.816126036,-15.30376451,18.62883502,-12.16121506,2.031080656,1.21771939,83.22591857,-5.682023889,2.63972666,0.41925677,,,,,,,,,,,,7.864459153,10.7772445,1.951706023,50,5.700376806,-10.91941974,-131.7962544,-7.03269974,13.87306464,27.25025977,-13.16277178,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,2bc7d2b3-7ea6-11eb-ae7a-181deafaf045
2,3/6/21,1:03:16 PM,1,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sweatt, Aidan",1000098206,Right,NOF_OSP,Windup,1,Top,0,1,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,91.86926311,-2.591924895,1.702950266,2367.823514,148.3927354,11:00,5.948097851,-2.312365039,5.649349616,-14.03173604,19.53279741,-12.03949154,2.358898757,-1.727056451,83.35554694,-5.21965548,-0.561316771,0.416976736,,,,,,,,,,,,6.959281077,11.240139,2.175747566,50,5.719667557,-3.54939133,-133.433085,-6.529789635,12.45354506,30.7026609,-12.05996263,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,3a2f50a3-7ea6-11eb-ae7a-181deafaf045
3,3/6/21,1:03:38 PM,1,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sweatt, Aidan",1000098206,Right,NOF_OSP,Windup,1,Top,0,2,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.90187435,-2.422125482,2.304984646,2244.877085,154.581131,11:15,6.004482814,-2.247611177,5.497694901,-13.01585767,20.6179065,-9.813452639,2.651413435,-0.908559247,83.61294343,-4.850731234,0.468826363,0.417406546,,,,,,,,,,,,5.886979432,11.67199476,2.052850387,50,5.784101262,-5.021358867,-133.4539722,-6.114235731,10.58050736,29.63784782,-11.19629114,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,469fd966-7ea6-11eb-ae7a-181deafaf045
4,3/6/21,1:03:54 PM,1,4,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sweatt, Aidan",1000098206,Right,NOF_OSP,Windup,1,Top,0,2,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.20744552,-2.238918569,2.077412338,2248.890344,153.3885856,11:00,6.08056899,-2.430513717,5.631809662,-11.56962242,21.61258468,-10.84379298,3.025347013,-1.395331157,83.97348113,-4.402927357,0.044381167,0.414595089,,,,,,,,,,,,6.388405151,12.19224344,2.260855715,50,5.882821841,-4.479380314,-133.9766394,-5.647346025,11.58592222,29.54190817,-10.06236639,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,4f928760-7ea6-11eb-ae7a-181deafaf045
5,3/6/21,1:04:14 PM,1,5,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sweatt, Aidan",1000098206,Right,NOF_OSP,Windup,1,Top,0,2,2,Fastball,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.33913736,-3.644275271,3.217538261,2307.346911,143.4303965,10:45,5.979403362,-2.373276091,5.631287582,-12.9564181,19.43118505,-14.43747384,1.490019919,-0.571624158,85.42414811,-6.056604747,0.519202644,0.40960092,,,,,,,,,,,,8.581853433,11.36606214,2.108850259,50,5.660647392,-7.096276863,-135.3714838,-9.096522859,15.96464268,28.8596281,-11.03000059,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,58853459-7ea6-11eb-ae7a-181deafaf045
6,3/6/21,1:04:42 PM,2,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sequera, Abraham",8885483,Right,NOF_OSP,Windup,1,Top,1,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,91.95597167,-2.528898065,3.58717492,2270.113625,154.2423148,11:15,5.953570306,-2.223932984,5.808917085,-15.19783891,17.74297651,-8.576073836,2.329588251,0.401084466,84.59480302,-5.362371629,1.985199666,0.413084302,73.29833003,31.08543394,153.5138873,3445.934725,,,,,,,,5.521968639,10.17193612,1.935058827,50,5.736941966,-8.078463451,-133.5399566,-6.429037076,10.0485749,26.67297387,-13.66371851,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,6a6a8e2a-7ea6-11eb-ae7a-181deafaf045
7,3/6/21,1:05:00 PM,2,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sequera, Abraham",8885483,Right,NOF_OSP,Windup,1,Top,1,0,1,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.06914913,2.09019045,0.30495868,2746.162764,327.3720903,5:00,5.873794854,-2.249707341,5.399295068,-66.19062475,-18.83104956,12.02737942,2.317191509,-0.961694743,70.98282587,-10.25669455,2.569004772,0.495308085,,,,,,,,,,,,-6.302736909,-10.72523797,2.214372885,50,6.014825852,-0.969107159,-113.3312932,2.12267564,-8.041047571,24.39307918,-45.85733409,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,780c3207-7ea6-11eb-ae7a-181deafaf045
8,3/6/21,1:05:16 PM,2,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sequera, Abraham",8885483,Right,NOF_OSP,Windup,1,Top,1,0,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,92.99058178,-2.376601738,3.247510033,2321.618521,150.1627485,11:00,5.845433189,-2.261224991,5.647731406,-14.41885419,18.14000359,-10.42210455,2.42259239,-0.097842369,85.01683121,-5.06728246,1.29914297,0.410682407,72.86252288,38.53500047,146.2738094,3734.327273,-96.16660502,47.04230272,53.40381721,202.7714413,44.10406112,154.378623,3.093829956,6.457374513,10.34473235,1.99257396,50,5.634650298,-7.292191816,-135.0148475,-6.12256081,11.94000298,28.92247228,-13.0461298,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,81b40830-7ea6-11eb-ae7a-181deafaf045
9,3/6/21,1:05:35 PM,2,4,"Webb, Ryan",1000027901,Left,GEO_BUL,"Sequera, Abraham",8885483,Right,NOF_OSP,Windup,1,Top,1,0,2,Curveball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.65471436,2.069691733,0.883044559,2612.379983,325.2987755,4:45,5.85494506,-2.080047142,5.455739241,-65.99917142,-18.40275447,12.71226453,2.293227358,-0.194135612,70.91593384,-10.2227736,3.271869576,0.496545041,,,,,,,,,,,,-6.491601724,-10.4755664,1.99380392,50,5.993008645,-2.120602389,-112.7645796,2.089619768,-8.232687594,23.38906376,-45.45922365,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,8d0425af-7ea6-11eb-ae7a-181deafaf045
10,3/6/21,1:06:01 PM,3,1,"Webb, Ryan",1000027901,Left,GEO_BUL,"Kachler, Alex",1000065959,Right,NOF_OSP,Windup,1,Top,2,0,0,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.8836776,-2.88516506,3.506349169,1491.139542,140.1342786,10:45,6.012634277,-2.199494345,6.034015142,-20.02962151,17.65234248,-14.77130165,1.664957244,-0.179978342,78.65027009,-6.641202993,0.724067146,0.441812789,,,,,,,,,,,,8.974550019,10.36578663,1.93395354,50,5.776311381,-7.189552747,-124.6794004,-6.905644703,14.13734973,24.89066419,-15.84512392,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,9c3b02e5-7ea6-11eb-ae7a-181deafaf045
