PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,4/18/21,1:03:13 PM,1,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Schultz, Austin",1000049388,Right,KEN_WIL,Windup,1,Top,0,0,0,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,88.75030088,-2.386558831,1.849113166,2148.308822,140.5009191,10:45,5.810037752,-1.447010589,5.692950571,-15.87237447,19.95895487,-16.48012557,2.261060553,-1.09672322,80.7296402,-5.357280656,-1.249384614,0.430827065,87.88877889,41.25803152,30.5261705,5084.617431,86.16231528,83.48551285,68.38165138,321.3913622,84.05973132,49.37894057,5.274891968,9.37983144,11.40354909,1.302054767,50,5.599821774,-3.61347865,-128.9414984,-5.905801147,15.70684753,28.15105688,-13.07841683,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,f21142d6-a067-11eb-aea8-181deafaf045
2,4/18/21,1:03:56 PM,2,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Collett, T.J.",8889832,Left,KEN_WIL,Windup,1,Top,1,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.65996352,-0.659128312,1.529052249,2032.716994,156.6686073,11:15,5.611279312,-1.356012923,5.63278684,-19.95002534,15.90671074,-6.87538742,3.333652803,-0.502222649,80.73108232,-4.394994602,0.239020454,0.430979781,70.07499692,28.4662726,-167.2005215,3686.860234,,,,,,,,4.117260348,8.69700058,1.230482596,50,5.542634552,-3.209954283,-128.9398563,-2.156750071,6.90773417,27.6656165,-17.58265452,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,0ce9499e-a068-11eb-aea8-181deafaf045
3,4/18/21,1:04:13 PM,2,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Collett, T.J.",8889832,Left,KEN_WIL,Windup,1,Top,1,0,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.64108604,-2.523786088,3.577502547,2167.025013,150.3719951,11:00,5.529277203,-1.346825088,5.761761599,-17.13122998,18.07277498,-10.29727727,1.746893242,1.128678385,81.32531119,-5.737928252,1.640696656,0.427039015,,,,,,,,,,,,6.611651398,10.47837345,1.056862048,50,5.309773976,-7.788187264,-130.0315623,-6.310630611,11.23509956,29.17594364,-14.3682748,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,15dbf6e9-a068-11eb-aea8-181deafaf045
4,4/18/21,1:04:30 PM,2,3,"Wagner, Luke A.",691022,Left,GEO_BUL,"Collett, T.J.",8889832,Left,KEN_WIL,Windup,1,Top,1,0,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,90.87626802,-1.082000152,3.22600663,2178.556332,132.9288352,10:30,5.650953416,-1.346224566,5.806890837,-18.43447802,15.82228364,-17.04425614,3.106957237,0.236222909,81.999633,-4.559902997,0.00658362,0.421254615,95.33366854,-1.961230979,-12.12421735,2298.271127,,,,39.0573614,37.37604164,-11.13946279,0.282405396,10.20368073,8.872648503,1.091810445,50,5.551344355,-6.870013237,-131.9436118,-3.109030054,17.7694679,31.25139126,-16.7225417,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,23f72d79-a068-11eb-aea8-181deafaf045
5,4/18/21,1:05:11 PM,3,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Rhodes, John",1000050853,Right,KEN_WIL,Stretch,1,Top,1,0,0,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,78.90031533,-3.02561697,4.104225117,,87.69009145,9:00,5.431134142,-1.98656713,5.144071809,-46.13348749,-0.71469772,-16.65933987,-1.271605788,0.49547546,74.5206026,-11.36032195,1.049895748,0.485053114,,,,,,,,,,,,9.586002719,0.281171001,1.615165143,50,5.111875407,-7.664551758,-114.4819575,-7.589988395,13.00323829,16.75130503,-31.79264521,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,39a6ad74-a068-11eb-aea8-181deafaf045
6,4/18/21,1:05:34 PM,3,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Rhodes, John",1000050853,Right,KEN_WIL,Stretch,1,Top,1,1,0,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,77.63658536,-1.941740911,3.518415041,2140.230811,109.1547195,9:45,5.374392416,-1.844151787,5.195188147,-41.45860964,4.994002401,-14.5031363,0.089145057,0.260500233,73.35845282,-9.463571725,0.862204222,0.490542441,,,,,,,,,,,,8.28379758,2.999435014,1.529081345,50,5.162750211,-6.469568488,-112.873752,-5.178927847,10.98160258,15.23012399,-28.19778007,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,4a077e83-a068-11eb-aea8-181deafaf045
7,4/18/21,1:05:56 PM,3,3,"Wagner, Luke A.",691022,Left,GEO_BUL,"Rhodes, John",1000050853,Right,KEN_WIL,Stretch,1,Top,1,2,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8943901,-0.395353907,1.797669857,2132.733256,174.8848576,11:45,5.62597086,-1.342193215,5.491717223,-18.83694667,18.22191578,-1.634235892,3.686251809,0.20358318,79.15322748,-3.934003348,1.490285805,0.438144698,,,,,,,,,,,,1.447323947,9.849888096,1.186126549,50,5.578942984,-3.951955182,-127.6810778,-1.519887397,2.354819862,29.82251847,-16.14811865,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,547eb54b-a068-11eb-aea8-181deafaf045
8,4/18/21,1:06:17 PM,3,4,"Wagner, Luke A.",691022,Left,GEO_BUL,"Rhodes, John",1000050853,Right,KEN_WIL,Stretch,1,Top,1,3,0,Fastball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,89.40894631,-2.911163312,4.132669417,2113.563713,132.1707578,10:30,5.612038606,-1.633931668,5.718228412,-20.28516154,15.15590881,-16.76857883,1.200815004,0.824438712,81.33943369,-6.705743001,0.985072225,0.428474453,,,,,,,,,,,,10.21158573,8.989286549,1.29879796,50,5.355869976,-8.803373656,-129.580646,-7.283416544,17.27323169,28.37780267,-16.96837596,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,63ac097a-a068-11eb-aea8-181deafaf045
9,4/18/21,1:07:03 PM,4,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Kessler, Coltyn",8898972,Left,KEN_WIL,Stretch,1,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.59985861,-2.722052103,2.416417855,2119.07609,183.4618709,12:00,5.745956181,-1.318592993,5.600545125,-17.83290342,17.17845266,1.041196375,1.714863488,1.025064909,82.36983886,-6.029674252,2.610574491,0.425868957,,,,,,,,,,,,0.084855115,9.880211124,1.111220045,50,5.501351605,-5.528898345,-130.1681891,-6.808647363,0.146262204,26.13967409,-15.14382636,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,7f537219-a068-11eb-aea8-181deafaf045
10,4/18/21,1:07:26 PM,4,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Kessler, Coltyn",8898972,Left,KEN_WIL,Stretch,1,Top,1,0,1,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.94912824,-0.607975121,1.360528321,2206.268404,180,12:00,5.432983488,-1.598057012,4.926253472,-44.8976633,1.616678859,-3.82E-14,1.116671597,-0.311847828,73.39694625,-8.74861359,1.360528321,0.49086827,,,,,,,,,,,,0.286958901,0.9656184,1.465709906,50,5.336661651,-2.695578346,-113.4972575,-2.724211149,0.383217526,16.13536416,-30.88451931,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,8a2ec51d-a068-11eb-aea8-181deafaf045
