PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-18,14:02:06.88,1,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Feil, Will",1000080327,Left,ALB_GRE,Undefined,1,Top,0,0,0,Other,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.25968,-0.954272,-3.215694,2147.878113,238.1535,2:00,5.95051,2.52603,5.95314,-25.21155,8.43764,11.80304,2.96305,0.52414,83.14744,-5.658551,-1.097911,0.417502,,,,,,,,,,,,-6.94406,4.94626,-2.27652,50,5.8605,6.91919,-132.34372,-3.06973,-12.271,29.20127,-23.43342,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,44fdb7d0-90ed-11ec-91d2-69e64411c57e,90.28084,,,8.11223,,,,,,,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:02:06.88,2022-02-18T14:02:06.8860000-05:00,2022-02-18T19:02:06.8860000Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,25aa0c73-de42-4b77-a8c5-7c7803a95f02,54.5454,-133.34288,14.60063,5.95182,-2.26793,-11.71671,-2.52045,7.33905,-6.1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.15536,2.024492,0.791924,1.232568,-1.90553,2.62414,-0.46432,-0.63163,6.04655,0.39228,127.28085,1.18626,3.52905,-0.44603,116.73419,-10.6798,6.04156,8.78881,-10.32595,0.33508,-0.38773,2.43072,High,High,High,,,High,High,High
2,2022-02-18,14:02:38.75,1,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Feil, Will",1000080327,Left,ALB_GRE,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.68669,-0.973026,-4.296026,2238.413778,251.477983,2:30,6.05951,2.72533,5.77723,-24.89541,5.89095,14.63371,3.07686,-0.06016,87.34609,-5.584342,-1.683623,0.399347,,,,,,,,,,,,-8.60245,3.5874,-2.37865,50,5.96403,9.72742,-138.61776,-3.29927,-16.73592,31.01807,-25.19484,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,57e46ec0-90ed-11ec-91d2-69e64411c57e,94.38516,,,8.34061,,,,,,,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:02:38.75,2022-02-18T14:02:38.7598224-05:00,2022-02-18T19:02:38.7598224Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,0b97b6e4-2c9c-47a4-b1d7-3f80e2d39036,54.72225,-139.67045,15.50904,6.06149,-2.44421,-12.59742,-2.71841,10.2954,-8.36796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-18,14:02:51.82,1,3,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Feil, Will",1000080327,Left,ALB_GRE,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,95.02178,-1.171685,-3.003265,2214.372656,250.377022,2:15,5.97078,2.61028,5.83207,-26.29265,5.11288,11.25418,2.68894,0.7539,85.9964,-6.057226,-0.987273,0.403343,73.21154,-44.08428,27.824705,,,,,3.53158,,7.359306,0.035235,-6.68737,3.29851,-2.37168,50,5.85963,6.71098,-137.70891,-3.79471,-12.68886,33.97912,-25.91537,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,5fc30cf0-90ed-11ec-91d2-69e64411c57e,93.45007,2.64152,,9.02538,,,,1.0905,2.64152,-0.82067,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:02:51.82,2022-02-18T14:02:51.8284176-05:00,2022-02-18T19:02:51.8284176Z,GroundBall,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,e5b87871-6fec-4992-a70c-0612e8f6ae8a,54.66682,-138.85565,16.98956,5.97294,-2.92011,-12.95768,-2.60539,7.13921,-6.34443,180,1.08913,68.45455,,,,,,,,2.64302,-74.96854,,,,,,,,-0.82139,36.12972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2022-02-18,14:03:21.61,2,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Malm, Brad",1000080323,Right,ALB_GRE,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.82169,-3.122984,-5.544107,2293.000518,257.944761,2:30,6.01209,2.41014,6.04162,-26.07698,4.80634,18.28473,0.93101,-1.21543,87.69531,-7.926492,-2.269129,0.399975,,,,,,,,,,,,-10.85886,3.51555,-1.98674,50,5.75298,12.53863,-137.18522,-8.45541,-20.91511,27.30794,-25.40281,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,717848c0-90ed-11ec-91d2-69e64411c57e,94.23692,,,7.12638,,,,,,,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:03:21.61,2022-02-18T14:03:21.6161168-05:00,2022-02-18T19:03:21.6161168Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,7d42e21a-ed94-4645-ae6a-25d349fdbe31,54.46175,-138.07052,13.65397,6.01375,-7.63188,-12.7014,-2.40422,13.21668,-10.45756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-18,14:03:34.74,2,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Malm, Brad",1000080323,Right,ALB_GRE,Undefined,1,Top,1,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,94.45132,-2.21913,-4.132021,2270.37622,232.357648,1:45,5.99281,2.65055,5.99676,-17.42304,14.43776,17.16643,2.4781,0.24542,84.83553,-5.546555,-1.054156,0.406256,97.45322,-29.165483,-68.150767,,,,,6.76761,,-40.051199,0.037856,-10.25158,8.50449,-2.33439,50,5.80817,9.11722,-136.63008,-5.85107,-19.02811,35.18167,-16.38871,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,7946e160-90ed-11ec-91d2-69e64411c57e,92.78006,2.64201,,9.61579,,,,3.41856,2.64201,0.0392,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:03:34.74,2022-02-18T14:03:34.7461008-05:00,2022-02-18T19:03:34.7461008Z,GroundBall,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,143853eb-1c49-4bbf-920f-751b40b17c5c,54.50282,-137.78466,17.59084,5.99136,-5.31323,-8.19435,-2.64384,9.74168,-9.51406,180,3.41801,46.53999,,,,,,,,2.64284,-69.79028,,,,,,,,0.04057,-116.06892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2022-02-18,14:03:55.70,2,3,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Malm, Brad",1000080323,Right,ALB_GRE,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.68557,-0.664716,-2.938707,2711.798674,55.604295,7:45,6.1255,2.46505,5.15547,-46.3592,-3.97709,-7.83311,1.63565,-0.9565,75.76115,-9.034394,-4.324887,0.468557,,,,,,,,,,,,3.03937,-1.41441,-2.18395,50,6.02751,6.48047,-119.80871,-3.11436,4.38197,24.89615,-34.21325,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,85d4fde0-90ed-11ec-91d2-69e64411c57e,80.44359,,,6.92442,,,,,,,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:03:55.70,2022-02-18T14:03:55.7098384-05:00,2022-02-18T19:03:55.7098384Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,83cddc39-1e18-4532-9b5b-a4242221e13e,55.3456,-120.91442,12.44807,6.13208,-1.59485,-17.10663,-2.46745,6.28585,2.19098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-02-18,14:04:10.10,2,4,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Malm, Brad",1000080323,Right,ALB_GRE,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.07213,-1.699288,-3.646936,2696.112297,70.54177,8:15,6.2456,2.35346,5.25896,-44.16372,-2.7652,-11.15997,0.96502,-2.00764,77.25654,-9.626907,-5.622827,0.463088,,,,,,,,,,,,4.6465,-0.58445,-2.01037,50,6.0567,8.13821,-120.42423,-5.20529,6.85719,22.29769,-33.03655,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,8e6dc450-90ed-11ec-91d2-69e64411c57e,81.39362,,,5.81559,,,,,,,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:04:10.10,2022-02-18T14:04:10.1065104-05:00,2022-02-18T19:04:10.1065104Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,3f47dc97-fc30-441e-9d50-3980f85d096b,55.24342,-121.39122,11.14885,6.25137,-3.77259,-16.51827,-2.35685,7.84084,3.42859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-02-18,14:04:25.88,2,5,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Malm, Brad",1000080323,Right,ALB_GRE,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,83.40813,0.052553,-1.498871,2702.506287,57.819525,8:00,6.18225,2.46556,5.23079,-45.54136,-4.61918,-9.21745,2.43656,0.28812,77.19124,-8.176018,-3.134746,0.460416,78.92778,40.296269,22.516171,,99.07309,74.4433,47.79621,264.15348,,30.640141,4.666424,4.25815,-2.04386,-2.32018,50,6.15248,3.55278,-121.18026,-1.57949,6.36313,22.58255,-35.22824,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,97cdf970-90ed-11ec-91d2-69e64411c57e,81.86599,81.64506,,6.21689,,,,2.1781,2.59882,-0.31586,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:04:25.88,2022-02-18T14:04:25.8814352-05:00,2022-02-18T19:04:25.8814352Z,FlyBall,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,50c6d3fc-8a89-40fa-8b2d-6e033d2265a2,55.27249,-122.15887,11.29128,6.18784,-0.05289,-17.61412,-2.46816,3.27704,3.18157,202.957421,2.17847,81.55651,-17.0602,4.39475,-0.99783,0.22878,-0.04626,0.00601,-0.00033,2.60062,74.82225,-19.96775,1.09238,0.18856,-0.18373,0.05378,-0.00731,0.00038,-0.31583,33.81111,-2.17965,0.46681,-0.10168,0.02916,-0.00761,0.00113,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2022-02-18,14:04:58.99,3,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Daly, John",1000080317,Right,ALB_GRE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.36992,-0.991349,-4.117278,2169.072245,227.962618,1:30,6.05294,2.50865,6.02542,-25.47277,5.97886,5.4915,3.00959,-0.85359,86.00837,-5.72972,-3.132782,0.403639,,,,,,,,,,,,-4.0015,3.68713,-2.18886,50,5.96148,9.59676,-136.72344,-3.27824,-7.54497,31.23761,-25.2218,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,ab7a9870-90ed-11ec-91d2-69e64411c57e,93.38156,,,8.36155,,,,,,,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:04:58.99,2022-02-18T14:04:58.9988240-05:00,2022-02-18T19:04:58.9988240Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,e9dc418d-0946-417f-8a60-6690a26ea57f,54.47299,-137.74161,15.6188,6.05493,-2.45615,-12.6109,-2.50567,9.84268,-3.77249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-02-18,14:05:12.50,3,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Daly, John",1000080317,Right,ALB_GRE,Undefined,1,Top,2,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,95.52317,-1.380968,-4.276853,2134.264598,253.935496,2:30,6.14171,2.45895,6.02067,-25.7099,4.80256,13.39737,2.71627,-0.39342,87.58018,-6.146662,-1.873719,0.397567,79.7697,26.305252,153.168956,4688.157132,,,,,,,,-8.04473,3.13595,-2.1306,50,6.01923,9.76181,-138.47823,-4.28264,-15.66424,30.12464,-26.06787,GEO_BUL,ALB_GRE,UGeorgia,D1,SEC,20220218-UGeorgia-1,b3929620-90ed-11ec-91d2-69e64411c57e,94.80784,19.82076,,7.943,,,,0.02276,2.54649,0.43593,4b6df230-b0ff-4c52-87dc-cb6cd0b5023e,2022-02-18,19:05:12.50,2022-02-18T14:05:12.5015440-05:00,2022-02-18T19:05:12.5015440Z,,v3,,albany,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,9ae44640-60f7-448e-a4eb-337e6094cd03,54.48022,-139.44945,15.06232,6.14375,-3.44221,-13.03394,-2.45346,10.26683,-7.83212,,0.02534,-93.67411,7.37809,,,,,,,2.56279,51.34211,-26.78901,,,,,,,0.45697,46.68514,-17.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
