PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-25,17:02:17.35,1,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,0,0,Other,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.72269,-1.918789,-3.578514,2289.935584,238.342532,2:00,5.99848,2.43918,5.69003,-24.73281,9.25103,13.03024,2.14489,0.18543,82.93847,-6.52466,-1.252534,0.419573,,,,,,,,,,,,-7.70811,5.66107,-2.14605,50,5.82154,7.70871,-132.73915,-5.33159,-13.584,31.66482,-22.19758,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,991f6b80-9686-11ec-8aa0-632f949e46fb,89.83518,,,8.78422,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:02:17.35,2022-02-25T17:02:17.3520000-05:00,2022-02-25T22:02:17.3520000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,a9016708-826f-4d9b-b4bc-cde0e9d0a083,54.80761,-133.88109,15.83241,5.99938,-4.53108,-11.09879,-2.43288,8.19859,-6.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.44523,2.231659,0.956928,1.274731,-0.38783,1.93564,-0.14722,0.43509,5.9662,0.79109,127.277,-0.40694,2.14196,0.5659,111.52848,-9.59902,6.00097,10.87515,-12.50072,0.72723,-3.04534,3.30098,High,High,High,,,High,High,High
2,2022-02-25,17:02:50.23,1,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.57483,-1.527925,-2.91794,2373.620239,234.65699,1:45,6.02559,2.53822,5.94684,-19.93174,11.83934,15.02115,2.94523,1.08113,84.93798,-5.303394,-0.221939,0.405683,,,,,,,,,,,,-8.59071,6.90926,-2.31379,50,5.89275,6.28547,-136.95712,-4.31676,-16.02329,35.32425,-19.28699,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,aca807c0-9686-11ec-8aa0-632f949e46fb,92.91096,,,9.63685,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:02:50.23,2022-02-25T17:02:50.2340000-05:00,2022-02-25T22:02:50.2340000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,768c0332-84e9-4253-8f33-d1276e0ab2e2,54.54948,-138.12555,17.66213,6.02499,-3.6788,-9.64349,-2.53046,6.81547,-8.01165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-25,17:03:03.90,1,3,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.33643,-2.885337,-2.621287,2364.657292,236.270029,2:00,6.06144,2.50083,5.88542,-21.59147,10.34032,13.75056,1.57772,1.21085,85.22901,-6.931268,-0.153869,0.406708,,,,,,,,,,,,-7.85961,6.55477,-2.29709,50,5.81595,5.62895,-136.57967,-7.63443,-14.62958,34.17464,-19.9732,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,b4ddedb0-9686-11ec-8aa0-632f949e46fb,92.67685,,,9.10742,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:03:03.90,2022-02-25T17:03:03.9020000-05:00,2022-02-25T22:03:03.9020000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,c4c8ecae-03c4-41c7-ad50-48d9161a0f4b,54.61261,-137.72899,17.08732,6.0614,-6.96271,-9.9866,-2.49467,6.12096,-7.31479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-25,17:03:19.47,1,4,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.55056,-1.455096,-2.835326,2376.283534,228.164834,1:30,6.17265,2.44765,5.92085,-19.40269,12.23146,12.40721,3.20349,0.84826,85.38379,-5.122916,-0.609728,0.404809,65.78712,33.652955,164.552312,4721.650055,,,,,,,,-7.25508,7.05174,-2.22758,50,6.04511,6.22929,-137.03274,-4.12895,-13.61974,33.87776,-18.93603,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,be24f580-9686-11ec-8aa0-632f949e46fb,93.11177,25.57177,,9.16677,,,,0.93094,3.17155,-0.83266,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:03:19.47,2022-02-25T17:03:19.4780000-05:00,2022-02-25T22:03:19.4780000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,4058f816-e05d-44e1-a967-e6cadfb905e6,54.57774,-138.15983,16.93888,6.17199,-3.49896,-9.46802,-2.44236,6.68241,-6.80987,320.469828,0.93094,-77.41567,4.83427,0.2926,-0.13414,0.21708,-0.37942,0.39344,-0.16558,3.17155,53.46969,-26.81142,3.19499,-0.73683,0.48103,-0.74377,0.75695,-0.31523,-0.83266,21.39317,-7.42873,0.77776,-0.16221,0.08252,-0.14274,0.14519,-0.0598,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2022-02-25,17:03:36.13,1,5,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,2,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,95.46766,-2.835386,-3.732743,2337.961419,244.61846,2:15,6.08158,2.51278,5.96666,-22.15218,9.0576,16.64493,1.59887,0.43397,85.99955,-6.9897,-0.745572,0.402084,,,,,,,,,,,,-9.76528,5.91394,-2.22577,50,5.84402,8.25488,-138.08416,-7.62326,-18.53082,35.66919,-20.95159,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,c80ecd00-9686-11ec-8aa0-632f949e46fb,93.74276,,,9.46811,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:03:36.13,2022-02-25T17:03:36.1380000-05:00,2022-02-25T22:03:36.1380000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,435969c3-5c36-40f1-ac9f-48fc0ebd5fbd,54.53195,-139.24991,17.8346,6.08197,-6.93851,-10.47579,-2.50545,8.86051,-9.26541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-25,17:04:01.85,1,6,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,95.31872,-2.614077,-4.437495,2325.320378,245.042788,2:15,6.21284,2.55971,5.79781,-22.83257,9.10548,16.74481,1.86967,-0.18067,84.7893,-6.905527,-1.446335,0.406748,64.72826,-58.744207,-97.411063,,,,,2.26281,,-25.550323,0.024184,-10.19225,5.95922,-2.20453,50,5.98382,9.90142,-137.56257,-7.10772,-18.94898,38.97598,-21.09497,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,d7681770-9686-11ec-8aa0-632f949e46fb,92.66779,1.96938,,10.52941,,,,2.1957,1.96938,0.20938,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:04:01.85,2022-02-25T17:04:01.8530000-05:00,2022-02-25T22:04:01.8530000Z,GroundBall,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,9a1dcea2-3f79-48a2-97fc-ed8c9952a602,54.69965,-138.88775,19.48799,6.21328,-6.39049,-10.54748,-2.55213,10.54569,-9.47449,,2.19578,-6.37532,,,,,,,,1.97046,-81.43298,,,,,,,,0.21003,-49.01312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2022-02-25,17:04:22.87,1,7,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Hara, Kaito",1000052072,Right,AKR_ZIP,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,96.63598,-2.932543,-2.757548,2311.323945,225.188972,1:30,6.1968,2.3896,5.81556,-14.19942,16.30147,15.28895,2.28119,1.09764,87.13192,-5.655031,-0.020184,0.397491,51.55433,68.610705,1.782246,,,,,76.8796,,-4.671871,4.135167,-8.69733,9.58134,-2.17287,50,5.94796,6.02813,-139.89402,-7.61198,-16.99124,35.73236,-13.45577,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,e3f151f0-9686-11ec-8aa0-632f949e46fb,94.82587,69.85574,,9.50405,,,,1.8238,2.32142,-1.09786,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:04:22.87,2022-02-25T17:04:22.8750000-05:00,2022-02-25T22:04:22.8750000Z,Popup,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,086afc44-b2b5-43f8-8f7b-9348d0146049,54.68332,-141.08519,17.86618,6.19424,-7.16342,-6.72789,-2.38327,6.59455,-8.49562,,1.83532,27.24664,-2.89219,-2.43361,3.34344,-1.88613,0.55156,-0.08112,0.00475,2.32475,70.33092,-20.22921,1.07416,0.09712,-0.11968,0.02675,-0.00172,-6E-05,-1.08378,0.44639,0.07664,-4.10314,5.05326,-2.9512,0.90984,-0.14123,0.0087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2022-02-25,17:04:55.89,2,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Benson, Cameron",10067151,Left,AKR_ZIP,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.33756,-0.241169,-3.4523,2619.36706,73.000838,8:30,6.07421,2.41189,5.34181,-44.51711,-1.83815,-10.75308,2.1378,-1.72673,75.0498,-8.329923,-5.357762,0.470195,,,,,,,,,,,,4.29063,-0.38689,-2.09238,50,6.02079,7.64374,-119.20254,-2.10989,6.0958,25.60454,-32.72371,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,f7ab3760-9686-11ec-8aa0-632f949e46fb,80.16337,,,7.28777,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:04:55.89,2022-02-25T17:04:55.8960000-05:00,2022-02-25T22:04:55.8960000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,cb2cf3da-0504-4b61-a9e6-d84b00ace7b2,55.15721,-120.3052,12.80227,6.08131,-0.70064,-16.36186,-2.4159,7.38122,3.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-25,17:05:08.30,2,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Benson, Cameron",10067151,Left,AKR_ZIP,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.64974,-0.088622,-1.967817,2515.052783,63.541364,8:00,6.15501,2.48625,5.07927,-50.92963,-5.8878,-15.03481,1.82729,-0.62241,73.29269,-9.291537,-4.628026,0.483036,,,,,,,,,,,,6.8278,-2.44295,-2.28731,50,6.10647,4.64765,-116.82387,-2.05947,9.26295,25.77041,-35.48829,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,fefd25f0-9686-11ec-8aa0-632f949e46fb,78.03236,,,7.35705,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:05:08.30,2022-02-25T17:05:08.3010000-05:00,2022-02-25T22:05:08.3010000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,bf3b8ea7-ca4f-4ced-9f3e-bffb6fdc0942,55.42104,-118.01365,12.88521,6.16372,-0.42103,-17.74415,-2.49201,4.21999,4.63148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-02-25,17:05:21.80,2,3,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Benson, Cameron",10067151,Left,AKR_ZIP,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.94235,-2.184374,-3.388547,2379.162273,254.96349,2:30,6.08239,2.65778,5.94237,-24.82864,6.85469,20.97785,1.98253,1.25898,85.13169,-6.831314,0.378129,0.405123,,,,,,,,,,,,-11.80461,4.62882,-2.39872,50,5.8943,7.15574,-137.36401,-6.13778,-22.06207,36.62359,-23.52308,GEO_BUL,AKR_ZIP,UGeorgia,D1,SEC,20220225-UGeorgia-1,06ffedf0-9687-11ec-8aa0-632f949e46fb,93.0395,,,9.81066,,,,,,,9c5524a9-dcee-4b65-aa1b-226525010eea,2022-02-25,22:05:21.80,2022-02-25T17:05:21.8090000-05:00,2022-02-25T22:05:21.8090000Z,,v3,,akron,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,7f0f6f26-7d3e-4b60-9493-5532179fa03e,54.55477,-138.57307,18.3118,6.08411,-5.36121,-11.76154,-2.64698,7.88408,-11.03104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
