PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-04,18:04:12.45,1,1,"Huff, Chance",8890974,Right,GIT_YEL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.8878,-1.542006,-2.890903,2214.923073,226.665582,1:30,5.80453,2.76448,5.41175,-16.56308,15.87328,15.68217,2.97746,1.36067,85.39444,-4.663954,-0.104919,0.409909,,,,,,,,,,,,-8.68918,8.73311,-2.51846,50,5.65599,6.12394,-136.06673,-4.23071,-16.24123,30.69113,-15.85073,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,68d450b0-9c0f-11ec-be24-c1d666ecc873,91.95319,,,8.49336,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:04:12.45,2022-03-04T18:04:12.4504824-05:00,2022-03-04T23:04:12.4504824Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,8abd1802-251f-423e-b5e4-dea8ed3c111c,55.08577,-137.20908,15.34556,5.80249,-3.64073,-7.92537,-2.75764,6.72845,-8.12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-04,18:04:24.18,1,2,"Huff, Chance",8890974,Right,GIT_YEL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,0,Cutter,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.67954,-1.831495,-3.947599,2220.605113,198.475386,12:30,5.89733,2.70119,5.43703,-12.7193,19.17273,6.0576,3.11769,-0.49645,86.23884,-4.26324,-2.873986,0.406455,70.82605,52.395272,-106.938553,4839.504446,,,,,,,,-4.17788,10.49575,-2.35577,50,5.72654,9.17505,-137.07131,-4.78739,-7.93719,30.70093,-12.23396,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,6fde60d0-9c0f-11ec-be24-c1d666ecc873,92.7346,27.53143,,8.44069,,,,1.43369,2.91728,0.65209,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:04:24.18,2022-03-04T18:04:24.1831160-05:00,2022-03-04T23:04:24.1831160Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,784c2e14-811c-46e4-ba4f-df44ccee2250,55.06111,-138.20023,15.35046,5.89431,-4.33752,-6.11698,-2.69852,9.46692,-3.9686,36.128224,1.44139,-18.77332,-7.93453,,,,,,,2.92458,82.00942,-27.94479,,,,,,,0.64864,-60.50254,8.93182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2022-03-04,18:04:41.27,1,3,"Huff, Chance",8890974,Right,GIT_YEL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.48689,-0.751777,-3.019177,2261.989813,234.290708,1:45,5.89624,2.69595,5.25466,-19.45324,11.87575,15.17316,3.56775,1.12095,87.38118,-4.360383,-0.331889,0.402851,,,,,,,,,,,,-8.36808,6.42772,-2.43057,50,5.81308,6.55861,-138.47747,-2.56279,-16.31497,29.7447,-19.64213,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,7a15bc10-9c0f-11ec-be24-c1d666ecc873,93.56414,,,8.1057,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:04:41.27,2022-03-04T18:04:41.2743416-05:00,2022-03-04T23:04:41.2743416Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,ceceee00-91f2-4f45-aa9a-fce5e7297cff,55.24374,-139.59927,14.87235,5.89576,-1.822,-9.82106,-2.68953,7.17392,-8.15749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-04,18:04:57.69,1,4,"Huff, Chance",8890974,Right,GIT_YEL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,95.21643,-1.817534,-4.165878,2259.376806,215.091348,1:15,5.87699,2.56142,5.3376,-13.71658,17.75513,11.78835,3.02373,-0.37132,87.1862,-4.411329,-2.080141,0.403768,91.46501,43.200637,-6.552623,3753.692238,107.8585,97.32139,-21.59893,291.78386,,-17.41528,5.921864,-7.04914,9.70067,-2.19392,50,5.70314,9.48655,-137.90163,-4.84864,-13.64234,29.22554,-13.40019,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,83e49180-9c0f-11ec-be24-c1d666ecc873,93.35179,121.88248,,8.03023,,,,1.89552,2.96596,0.35367,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:04:57.69,2022-03-04T18:04:57.6953592-05:00,2022-03-04T23:04:57.6953592Z,FlyBall,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,1d5fc224-69c6-4743-aa89-b46b5dcb7a14,55.16189,-138.99128,14.61277,5.8746,-4.34903,-6.7001,-2.5571,9.99519,-6.82117,157.591661,1.90367,96.98481,-23.16559,4.95432,-0.32394,-0.19394,0.06468,-0.00797,0.00036,2.9536,92.03099,-21.1148,2.14992,-0.66634,0.17895,-0.02552,0.00158,-3E-05,0.35729,-11.22296,-4.51447,1.759,-0.27686,-0.01444,0.01232,-0.00167,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2022-03-04,18:05:38.37,2,1,"Huff, Chance",8890974,Right,GIT_YEL,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,1,0,0,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,86.55469,1.24719,-1.999756,2694.518013,71.645091,8:30,5.68254,2.90139,4.96862,-39.8429,-1.37453,-7.56863,3.54128,0.38096,79.60275,-5.956663,-3.333756,0.446399,,,,,,,,,,,,3.22792,-0.68831,-2.70149,50,5.77025,4.72674,-125.58789,1.1514,5.17805,24.38393,-33.27821,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,9c2b7920-9c0f-11ec-be24-c1d666ecc873,84.43663,,,6.95194,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:05:38.37,2022-03-04T18:05:38.3739640-05:00,2022-03-04T23:05:38.3739640Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,474b1d43-33fd-44a6-aa1e-c41accf7aed3,55.53128,-126.65728,12.19196,5.68775,2.61087,-16.6391,-2.90381,4.49965,2.58903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-04,18:05:55.49,2,2,"Huff, Chance",8890974,Right,GIT_YEL,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,1,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,95.52282,-1.656114,-4.831603,2243.852073,249.147282,2:15,5.7967,2.56426,5.36792,-23.11568,8.26292,19.0484,2.31162,-0.38934,87.2781,-5.91687,-1.459609,0.40317,73.7625,-24.511387,33.10099,,,,,5.09762,,34.399127,0.047007,-10.89489,4.89969,-2.14405,50,5.63132,10.76824,-138.21237,-4.91446,-21.10913,30.32922,-22.68078,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,a65259a0-9c0f-11ec-be24-c1d666ecc873,93.49021,2.11558,,8.24472,,,,0.31938,2.11558,0.34607,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:05:55.49,2022-03-04T18:05:55.4954488-05:00,2022-03-04T23:05:55.4954488Z,GroundBall,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,37d7d25c-e7da-4dc1-a964-9919e57e84ce,55.1317,-139.33391,15.16461,5.79754,-4.07574,-11.34039,-2.55668,11.54883,-10.55457,180,0.31767,82.68512,,,,,,,,2.11651,-45.00562,,,,,,,,0.34495,53.90378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2022-03-04,18:06:34.54,3,1,"Huff, Chance",8890974,Right,GIT_YEL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.66323,-4.214212,-5.131254,2217.181299,239.804756,2:00,5.70789,2.66973,5.67348,-20.40757,10.34658,16.24576,0.05548,-0.77307,88.5786,-7.972046,-2.240515,0.399138,,,,,,,,,,,,-9.57067,6.55784,-2.24654,50,5.33743,11.68943,-138.26583,-10.97854,-18.76706,27.09099,-19.31485,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,bd92cdc0-9c0f-11ec-be24-c1d666ecc873,94.43459,,,7.08463,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:06:34.54,2022-03-04T18:06:34.5437944-05:00,2022-03-04T23:06:34.5437944Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,b2e952ac-c690-4e3d-833d-6e893029c5ba,54.82801,-139.20859,13.5455,5.70778,-10.30639,-9.65742,-2.66469,12.34252,-9.38353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-03-04,18:06:56.02,3,2,"Huff, Chance",8890974,Right,GIT_YEL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,2,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.66359,0.980101,-2.206085,2705.722966,60.955117,8:00,5.54246,2.87284,5.03751,-41.23644,-3.19894,-7.64323,3.03148,0.15369,80.27911,-6.456643,-3.555007,0.443892,,,,,,,,,,,,3.2589,-1.52138,-2.65576,50,5.60271,5.18975,-125.85119,0.51436,5.28331,22.94744,-34.64051,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,ca741350-9c0f-11ec-be24-c1d666ecc873,84.91353,,,6.38449,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:06:56.02,2022-03-04T18:06:56.0297208-05:00,2022-03-04T23:06:56.0297208Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,932f159f-8909-4773-b62f-9edeaec12f9b,55.46341,-126.84347,11.47372,5.54808,2.01225,-17.32026,-2.87523,4.96129,2.64165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-03-04,18:07:13.88,3,3,"Huff, Chance",8890974,Right,GIT_YEL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,96.5215,-2.807678,-4.673444,2282.141446,211.900408,1:00,5.74911,2.70447,5.60041,-13.93674,16.55465,9.69623,1.95573,-0.86016,88.23101,-5.445841,-2.95159,0.397429,61.80527,-18.843029,51.353766,,,,,7.74601,,39.674587,0.063952,-6.23618,9.47544,-2.31008,50,5.49899,10.96624,-139.61597,-7.33089,-12.32912,30.9558,-13.44078,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,d50d64b0-9c0f-11ec-be24-c1d666ecc873,94.84059,1.87874,,8.29049,,,,2.52391,1.87874,0.64559,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:07:13.88,2022-03-04T18:07:13.8870520-05:00,2022-03-04T23:07:13.8870520Z,GroundBall,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Parada, Kevin",691006,Right,GIT_YEL,43b6ca87-0f1f-4b62-9e63-9adc8f9ed69f,54.89918,-140.69803,15.4779,5.74703,-6.86107,-6.72039,-2.70094,11.39721,-6.16456,180,2.52202,53.76042,,,,,,,,1.87978,-29.37759,,,,,,,,0.64323,67.23316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2022-03-04,18:09:49.19,1,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.60345,-1.827384,-4.762227,2372.331538,241.06148,2:00,5.82623,2.46883,5.85839,-21.15627,10.4678,16.60493,2.35901,-0.58203,85.01056,-5.828961,-1.79622,0.404744,,,,,,,,,,,,-10.07524,6.36075,-2.09086,50,5.66544,10.69639,-137.96723,-5.14613,-18.89393,38.44104,-20.24585,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,31a5ec10-9c10-11ec-be24-c1d666ecc873,93.12666,,,10.59288,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:09:49.19,2022-03-04T18:09:49.1937528-05:00,2022-03-04T23:09:49.1937528Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,15be559d-98ec-4db7-aca4-d1ff320c5595,54.63461,-139.25256,19.22052,5.82619,-4.46918,-10.12292,-2.45907,11.32814,-9.44697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2022-03-04,18:10:03.70,1,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Bottom,0,0,1,Cutter,Cutter,InPlay,Undefined,LineDrive,Single,0,0,,89.56382,-1.19368,-1.848053,2764.534638,121.512632,10:00,5.86924,2.29265,5.54756,-29.74588,5.81788,-7.54882,2.2742,-0.06398,81.57624,-6.670813,-3.193981,0.429215,86.78918,12.35857,-27.467449,3724.166701,93.01306,13.50984,-58.72425,183.26904,,-35.383965,1.902973,3.25847,3.65725,-2.12755,50,5.74635,4.52554,-129.87858,-3.79614,5.52062,29.26454,-25.97781,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,3a49fd20-9c10-11ec-be24-c1d666ecc873,87.8171,13.79667,,7.98758,,,,-0.09108,2.02496,0.23172,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:10:03.70,2022-03-04T18:10:03.7077752-05:00,2022-03-04T23:10:03.7077752Z,LineDrive,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,c70318f8-b2c7-46c3-9e29-f9b83adc8f5f,54.94952,-130.98907,14.63227,5.87169,-2.81037,-12.9889,-2.29531,4.31606,2.76031,111.471702,-0.09108,110.32429,-24.0918,5.64575,-1.26194,0.24089,-0.04354,0.00674,-0.00059,2.02496,27.2439,-16.56531,0.93523,0.00165,-0.03172,0.01353,-0.00263,0.00023,0.23172,-57.35162,-1.38974,2.16299,-0.86407,0.25304,-0.05868,0.00927,-0.00072,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
12,2022-03-04,18:10:53.45,2,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,96.60759,-3.736437,-4.078868,2359.675025,237.664871,2:00,5.80127,2.62652,5.99321,-20.28414,10.47162,14.61154,0.63464,0.05785,86.41405,-7.561641,-1.457322,0.399149,,,,,,,,,,,,-8.93571,7.03898,-2.3127,50,5.49486,9.2724,-139.43779,-9.81767,-17.15449,38.62948,-18.66085,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,57e9e980-9c10-11ec-be24-c1d666ecc873,94.43211,,,10.19354,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:10:53.45,2022-03-04T18:10:53.4500088-05:00,2022-03-04T23:10:53.4500088Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,36a3301b-cb7c-483d-afdd-a78106c9b49d,54.50247,-140.67961,19.31474,5.80083,-9.21778,-9.33043,-2.61965,9.82386,-8.57724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2022-03-04,18:11:14.40,2,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Bottom,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,95.57213,-1.876724,-4.502214,2388.290386,242.564664,2:00,5.81607,2.38907,6.06591,-21.01426,10.54788,17.73532,2.3221,-0.3081,84.5061,-5.87947,-1.319474,0.404347,90.44092,-28.028406,-18.817608,,,,,5.61274,,-11.03933,0.037014,-10.79816,6.51044,-2.0486,50,5.65923,10.04743,-137.96883,-5.22659,-20.09974,40.49877,-20.0555,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,646604a0-9c10-11ec-be24-c1d666ecc873,93.218,2.31173,,11.06603,,,,1.39845,2.31173,0.32597,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:11:14.40,2022-03-04T18:11:14.4025848-05:00,2022-03-04T23:11:14.4025848Z,GroundBall,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,874b8761-d420-4903-bfe5-3db7a77f4a57,54.42806,-139.26255,20.24939,5.81596,-4.58593,-10.02775,-2.37982,10.68952,-10.04987,,1.39715,111.0496,,,,,,,,2.31246,-62.45496,,,,,,,,0.32642,-37.84245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
14,2022-03-04,18:12:01.69,3,1,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.46073,-1.878499,-5.974841,2385.404429,239.860426,2:00,5.88116,2.62038,5.9675,-20.42639,11.47753,17.40954,2.42717,-1.48859,84.28095,-5.770414,-2.869287,0.406531,,,,,,,,,,,,-11.03095,6.96122,-2.15433,50,5.72046,13.5472,-137.41509,-5.20303,-20.39377,39.83732,-19.30434,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,809bb2a0-9c10-11ec-be24-c1d666ecc873,92.71737,,,11.17978,,,,,,,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:12:01.69,2022-03-04T18:12:01.6920312-05:00,2022-03-04T23:12:01.6920312Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,06e2e6c0-cfbd-4db5-9f64-a04d460955a8,54.52405,-138.72043,19.91866,5.88058,-4.57049,-9.65217,-2.60918,14.21544,-10.19688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2022-03-04,18:13:10.43,3,2,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,95.11883,-2.348369,-4.680674,2416.510862,228.375937,1:30,5.84753,2.54568,5.94758,-19.41942,12.84387,12.83595,2.04262,-0.73567,83.59551,-6.069142,-2.384567,0.408814,78.9855,54.7115,83.291235,5680.896725,,,,,,,,-8.43733,7.9091,-2.1796,50,5.64948,10.62874,-137.09198,-6.26027,-15.39955,41.85033,-17.73863,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,a9927400-9c10-11ec-be24-c1d666ecc873,92.19948,79.44986,,11.52332,,,,2.2948,2.1355,0.69881,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:13:10.43,2022-03-04T18:13:10.4383736-05:00,2022-03-04T23:13:10.4383736Z,,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,947e1e2b-978e-4418-b906-741aea0dd67d,54.54496,-138.47248,20.92517,5.84633,-5.67513,-8.86931,-2.53859,11.13672,-7.69978,,2.2948,7.81815,-6.95017,1.46839,-0.26823,0.00406,0.05362,-0.03344,0.00714,2.1355,94.55894,-29.97537,4.07298,-0.53158,-0.58816,0.75211,-0.38809,0.07737,0.69881,66.46568,-15.21051,4.82545,-2.71664,3.54318,-3.29629,1.59248,-0.30948,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
16,2022-03-04,18:13:34.56,3,3,"Cannon, Jonathan",1000073629,Right,GEO_BUL,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Bottom,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,0,1,,95.90161,-2.491232,-3.793372,2354.904813,253.680005,2:30,5.82291,2.36019,6.02257,-23.37171,7.23122,21.06753,1.56139,0.59729,87.02926,-6.854318,-0.007303,0.398156,121.82957,-46.574764,-53.810543,,,,,2.09976,,-54.284225,0.011082,-11.96335,4.79654,-2.07413,50,5.61481,8.25666,-138.88637,-6.8858,-23.15463,33.7514,-22.89057,GIT_YEL,GEO_BUL,GeorgiaTech,D1,ACC,20220304-GeorgiaTech-1,b7f02060-9c10-11ec-be24-c1d666ecc873,94.66763,1.43914,,8.87235,,,,0.42149,1.43914,-0.60551,f3b77c36-1ead-4c10-ac9a-e947d3d25508,2022-03-04,23:13:34.56,2022-03-04T18:13:34.5608440-05:00,2022-03-04T23:13:34.5608440Z,GroundBall,v3,,,D1B-04 March 2022 18:00-georgia@gatech,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,77fdcf04-55ae-466b-b438-4eafbcf1a51c,54.47602,-139.96988,16.8757,5.82407,-6.15095,-11.44528,-2.35112,8.99999,-11.57731,,0.4214,72.57438,,,,,,,,1.4393,-129.86137,,,,,,,,-0.60539,-99.19861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
