PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-09,18:02:25.37,1,1,"Ross, Thomas",1000051494,Right,GEO_EAG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.95661,-3.520477,-1.613217,2232.736766,229.86459,1:45,5.89691,1.21641,5.92575,-19.88249,14.58292,15.74276,0.96781,1.03094,81.86436,-7.280011,1.215816,0.422535,,,,,,,,,,,,-8.59567,9.03008,-1.09618,50,5.60371,3.02085,-131.63326,-8.71849,-14.78297,33.10613,-16.64392,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,5d8a74e0-9ffd-11ec-9ce5-9f5274865a3b,89.2054,,,9.09225,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:02:25.37,2022-03-09T18:02:25.3732094-05:00,2022-03-09T23:02:25.3732094Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,24d194c9-d9b3-4baa-8adc-74c3252c07ac,54.57388,-132.77862,16.55306,5.89538,-8.14267,-8.32196,-1.20954,3.53229,-7.39148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-09,18:02:37.29,1,2,"Ross, Thomas",1000051494,Right,GEO_EAG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.91583,-2.050011,-1.206577,2125.150143,220.841049,1:15,5.85008,1.36894,5.94966,-16.20182,18.0508,14.51875,2.59725,1.45953,81.90059,-5.164351,1.402279,0.421229,,,,,,,,,,,,-7.80485,10.27083,-1.28088,50,5.67782,2.14056,-131.79882,-5.17358,-13.50819,32.20821,-14.39785,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,64a32b00-9ffd-11ec-9ce5-9f5274865a3b,89.48205,,,9.01524,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:02:37.29,2022-03-09T18:02:37.2901118-05:00,2022-03-09T23:02:37.2901118Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,e43c78db-555c-43f9-b85e-ffc55a270f7f,54.54972,-132.906,16.1041,5.84716,-4.67864,-7.19893,-1.36244,2.60491,-6.75409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-09,18:02:51.11,1,3,"Ross, Thomas",1000051494,Right,GEO_EAG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.47789,-1.664772,-0.887511,2149.084677,210.785497,1:00,5.9191,1.14779,5.86198,-15.91111,18.99662,10.51567,3.04588,1.19948,80.95435,-4.742605,0.998796,0.425238,,,,,,,,,,,,-5.60988,10.61308,-1.08162,50,5.77483,1.55466,-131.05524,-4.24022,-9.54307,33.35063,-14.11999,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,6ce59410-9ffd-11ec-9ce5-9f5274865a3b,88.63841,,,9.52354,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:02:51.11,2022-03-09T18:02:51.1138046-05:00,2022-03-09T23:02:51.1138046Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,8e73c047-2983-4a01-8607-a8e21fa3e0e2,54.63432,-132.22932,16.67532,5.91535,-3.74314,-7.05999,-1.14226,1.89061,-4.77154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-09,18:03:06.80,1,4,"Ross, Thomas",1000051494,Right,GEO_EAG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.27104,-2.250436,-0.986988,2104.434527,204.161549,12:45,5.89377,1.17483,5.82488,-15.7308,20.12348,8.41445,2.48924,0.95833,80.08607,-5.291197,0.521338,0.430965,,,,,,,,,,,,-4.59614,11.38792,-1.09901,50,5.70053,1.85664,-129.29294,-5.50234,-7.62566,31.94691,-13.27994,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,763e0100-9ffd-11ec-9ce5-9f5274865a3b,87.46058,,,9.18497,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:03:06.80,2022-03-09T18:03:06.8008702-05:00,2022-03-09T23:03:06.8008702Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,dcddcca6-3282-4e39-9fd3-a848f90938cd,54.67265,-130.44239,15.97346,5.88991,-5.02453,-6.63997,-1.17074,2.13101,-3.81283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-03-09,18:03:20.06,1,5,"Ross, Thomas",1000051494,Right,GEO_EAG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.25512,-1.858003,-0.091892,2229.699576,219.946445,1:15,5.90207,1.18971,5.86868,-17.75682,16.89395,13.14347,2.69575,2.19964,81.81897,-5.233806,2.266467,0.42367,,,,,,,,,,,,-6.71544,9.5517,-1.18976,50,5.74129,-0.36498,-130.93428,-4.77684,-11.54044,30.24694,-15.75954,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,7e2a0cb0-9ffd-11ec-9ce5-9f5274865a3b,88.9665,,,8.43615,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:03:20.06,2022-03-09T18:03:20.0610046-05:00,2022-03-09T23:03:20.0610046Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,5c0dd06d-d61c-461a-bc69-02a9fb1182ec,54.63103,-131.99975,15.12347,5.89978,-4.2217,-7.87977,-1.18407,0.04154,-5.77022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-09,18:03:58.44,2,1,"Ross, Thomas",1000051494,Right,GEO_EAG,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.2559,-2.61268,-2.112135,2359.37535,124.576527,10:15,5.81551,1.60269,5.41667,-37.09061,5.07512,-5.43898,0.27363,-0.83017,75.84616,-9.349634,-3.080712,0.46736,,,,,,,,,,,,2.17122,3.6528,-1.41085,50,5.55695,4.61546,-119.2528,-6.72497,3.12275,23.19956,-26.92043,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,950c0d20-9ffd-11ec-9ce5-9f5274865a3b,80.64975,,,6.40974,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:03:58.44,2022-03-09T18:03:58.4453886-05:00,2022-03-09T23:03:58.4453886Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,ff084495-952b-433a-b18c-e12723f1ddac,55.08651,-120.23827,11.59978,5.81832,-5.58146,-13.46021,-1.60408,4.48281,1.56137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-09,18:04:20.22,2,2,"Ross, Thomas",1000051494,Right,GEO_EAG,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.347,-2.401754,-1.588633,2212.363038,216.92597,1:15,5.83639,1.37958,5.95014,-17.39328,17.86804,12.50575,2.15711,0.94785,81.04148,-5.718978,0.658273,0.427386,82.13988,-0.848319,-59.408652,4989.174721,,,,32.07772,,-57.804967,0.252693,-6.94827,10.28434,-1.26035,50,5.63549,3.07537,-129.5847,-5.94137,-11.69795,29.57818,-14.8596,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,a1f67a70-9ffd-11ec-9ce5-9f5274865a3b,88.19289,2.65183,,8.30552,,,,2.66963,2.65183,-1.61921,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:04:20.22,2022-03-09T18:04:20.2234110-05:00,2022-03-09T23:04:20.2234110Z,GroundBall,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,a6ffafba-7aa3-4447-aa73-3a3c0c7ff049,54.55174,-130.61952,14.78909,5.83426,-5.42149,-7.4298,-1.3751,3.48463,-5.84897,,2.67076,61.24342,-16.54681,,,,,,,2.65659,-2.03381,-33.62819,,,,,,,-1.61764,-103.77572,10.87093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
8,2022-03-09,18:04:47.47,2,3,"Ross, Thomas",1000051494,Right,GEO_EAG,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.22132,-1.623603,-2.317887,2099.354564,193.999661,12:30,5.88144,1.13245,5.97334,-15.8245,18.3684,4.3126,3.05583,-0.65829,82.57637,-4.640578,-1.54366,0.420862,,,,,,,,,,,,-2.82969,10.17981,-0.95113,50,5.74379,5.11529,-130.95028,-4.16137,-4.92484,27.05407,-14.45686,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,b23012c0-9ffd-11ec-9ce5-9f5274865a3b,89.56017,,,7.64494,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:04:47.47,2022-03-09T18:04:47.4725118-05:00,2022-03-09T23:04:47.4725118Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,908c1cfe-0417-4a0b-81b8-7fa629e535ec,54.52695,-131.88222,13.52704,5.87856,-3.66337,-7.22843,-1.13026,5.28494,-2.46242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-03-09,18:05:12.26,2,4,"Ross, Thomas",1000051494,Right,GEO_EAG,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,86.52919,-0.444329,-1.638341,1431.095024,245.237417,2:15,5.69246,1.5228,5.28669,-31.76293,5.87378,10.5202,2.6281,0.86049,80.33273,-6.232313,0.229537,0.441547,52.10604,37.84543,138.671505,4882.91966,,,,125.92308,,147.382702,2.624123,-5.70166,3.34425,-1.38156,50,5.62843,3.14857,-125.78657,-2.15184,-9.2685,22.02027,-26.73769,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,c10279f0-9ffd-11ec-9ce5-9f5274865a3b,85.36444,30.75504,,6.19646,,,,1.33673,2.93345,-0.76463,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:05:12.26,2022-03-09T18:05:12.2676990-05:00,2022-03-09T23:05:12.2676990Z,Popup,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,5c4b2f45-77da-44a9-b54c-fd518e82519a,55.21799,-126.69674,11.01013,5.69453,-1.04669,-13.36885,-1.51962,3.53166,-4.63425,312.520461,1.33676,-45.31779,0.56441,0.66177,-0.31007,0.24837,-0.11746,0.02759,-0.00259,2.93335,46.89254,-21.52401,1.87146,-0.48831,0.1462,-0.01754,-0.00281,0.00067,-0.76477,39.85643,-5.75146,0.31727,0.16905,-0.37029,0.22459,-0.05899,0.00588,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2022-03-09,18:05:54.18,2,5,"Ross, Thomas",1000051494,Right,GEO_EAG,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.54888,-3.644095,-2.173454,2369.159795,109.763289,9:45,5.7835,1.4149,5.32434,-36.55935,5.68189,-12.01631,-0.68997,-1.62711,76.07787,-10.24629,-4.309535,0.467778,,,,,,,,,,,,5.4804,4.27508,-1.20885,50,5.42653,5.01797,-119.51181,-8.89001,7.88563,24.13749,-26.02275,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,d9fef5f0-9ffd-11ec-9ce5-9f5274865a3b,80.57763,,,6.47101,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:05:54.18,2022-03-09T18:05:54.1874430-05:00,2022-03-09T23:05:54.1874430Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,a321b361-0fae-4f74-8d93-9b0a1933b354,55.17935,-120.55333,12.06875,5.7859,-7.76714,-13.01137,-1.41803,4.67771,3.94282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2022-03-09,18:06:21.97,2,6,"Ross, Thomas",1000051494,Right,GEO_EAG,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,91.03638,-3.657982,-2.526291,2201.369787,216.353794,1:15,5.80035,1.36127,6.1001,-15.94942,17.9034,12.30505,1.08005,0.0486,82.67101,-6.707544,-0.310817,0.418763,38.03127,-26.959388,-41.528747,,,,,6.4969,,-16.94692,0.054939,-7.18276,10.73379,-1.17338,50,5.50989,5.31355,-131.86167,-8.88841,-12.52982,30.45195,-13.44968,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,ea8a7ed0-9ffd-11ec-9ce5-9f5274865a3b,90.00891,1.399,,8.36537,,,,4.15569,1.399,-0.07018,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:06:21.97,2022-03-09T18:06:21.9729150-05:00,2022-03-09T23:06:21.9729150Z,GroundBall,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,8dee5a11-3998-43c0-9f6c-31e8b0830fea,54.4025,-132.87449,15.22597,5.79807,-8.44108,-6.72484,-1.35704,5.73028,-6.26491,,4.15339,37.4796,,,,,,,,1.40056,-25.46456,,,,,,,,-0.06815,-33.19269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
12,2022-03-09,18:07:30.00,3,1,"Ross, Thomas",1000051494,Right,GEO_EAG,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.28046,-2.659891,-2.73633,2134.183157,187.364629,12:15,5.82215,1.2351,6.02772,-15.21946,18.23048,2.21788,2.08577,-1.11631,83.50308,-5.561455,-2.337999,0.416264,,,,,,,,,,,,-1.90099,10.44753,-1.02207,50,5.60535,6.23248,-132.36591,-6.58671,-3.37333,28.19865,-13.63469,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,131ba090-9ffe-11ec-9ce5-9f5274865a3b,90.54931,,,7.77738,,,,,,,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:07:30.00,2022-03-09T18:07:30.0077310-05:00,2022-03-09T23:07:30.0077310Z,,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,0cc0020f-808c-4fe9-a7f8-ec530985ae34,54.4736,-133.31554,14.09933,5.81944,-6.12754,-6.81735,-1.23387,6.34608,-1.68666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2022-03-09,18:07:51.36,3,2,"Ross, Thomas",1000051494,Right,GEO_EAG,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.40435,-2.890633,-2.001275,2099.280089,212.567797,1:00,5.81727,1.29476,6.02529,-20.05344,14.97292,8.81079,1.46491,0.17464,81.49831,-6.671449,-0.416014,0.42596,56.61569,-21.954281,87.771768,,,,,5.76122,,41.004384,0.051296,-5.1817,8.93123,-1.14305,50,5.57986,4.17546,-129.65994,-7.16331,-8.76606,28.69113,-17.06483,GEO_EAG,GEO_BUL,GeorgiaSouthern,D1,SBELT,20220309-GeorgiaSouthern-1,1fcc8750-9ffe-11ec-9ce5-9f5274865a3b,88.4882,1.59807,,7.90604,,,,4.19362,1.59807,-0.18143,bf3fc4fd-31d7-4d96-905b-3fcc75f9693c,2022-03-09,23:07:51.36,2022-03-09T18:07:51.3638654-05:00,2022-03-09T23:07:51.3638654Z,GroundBall,v3,,,,"Hultgren, Kyler",1000083303,Right,GEO_EAG,bb4a1b33-2d86-402d-a8e5-d59b815c0f33,54.47758,-130.64698,14.34557,5.81619,-6.57624,-8.53242,-1.29188,4.47703,-4.38303,,4.19353,3.00491,,,,,,,,1.59897,-31.15406,,,,,,,,-0.18367,77.22805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
