PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-25,18:32:58.58,1,1,"Stupp, Cole",1000051137,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.21692,-1.533946,-4.05609,1999.612173,250.541809,2:15,5.3077,1.47782,6.16919,-25.80773,7.19642,17.67832,1.73635,-0.80162,84.27012,-6.329647,-0.873553,0.413481,,,,,,,,,,,,-10.16969,4.40303,-1.17913,50,5.17798,8.66482,-132.40589,-4.4156,-18.24308,25.49053,-24.27561,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,8618da10-ac8b-11ec-b4cf-d30d24564f9a,91.15881,,,6.9468,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:32:58.58,2022-03-25T18:32:58.5851574-04:00,2022-03-25T22:32:58.5851574Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,09ea0d0b-21c0-4ba9-9a6e-0943ea97c4b9,54.33187,-133.23725,12.74527,5.30908,-3.62387,-12.13781,-1.47142,9.2598,-9.12154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-25,18:33:10.91,1,2,"Stupp, Cole",1000051137,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.51678,-1.326211,-1.778914,2105.227327,252.689307,2:30,5.38796,1.45675,6.1052,-25.61856,7.85874,21.43757,2.02586,1.59763,82.85154,-6.127062,2.087076,0.416434,,,,,,,,,,,,-11.57237,4.82988,-1.33079,50,5.27277,3.20125,-132.80952,-3.93165,-20.39284,31.99057,-23.66285,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,8d8332a0-ac8b-11ec-b4cf-d30d24564f9a,90.51234,,,8.66523,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:33:10.91,2022-03-25T18:33:10.9156022-04:00,2022-03-25T22:33:10.9156022Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,35af750a-5110-4af4-877e-319b23858e3e,54.39269,-133.86343,15.99529,5.38945,-3.1521,-11.83142,-1.44732,3.87308,-10.19642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-25,18:33:26.23,1,3,"Stupp, Cole",1000051137,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.86779,-0.397011,-1.48006,2088.798075,247.775435,2:15,5.3484,1.53176,5.88691,-24.54269,8.06504,17.05745,2.93439,1.57858,84.31444,-4.982751,1.582191,0.41099,,,,,,,,,,,,-9.14654,4.57646,-1.42212,50,5.30236,2.72176,-134.81957,-1.79536,-16.69953,31.50699,-23.81846,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,96945d60-ac8b-11ec-b4cf-d30d24564f9a,91.71124,,,8.55336,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:33:26.23,2022-03-25T18:33:26.2322358-04:00,2022-03-25T22:33:26.2322358Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,09652bbd-e1a5-4f1f-9c7b-e01bb14ccdeb,54.61097,-135.89287,15.7535,5.3497,-0.98398,-11.90923,-1.52453,3.29063,-8.34976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-25,18:33:41.41,1,4,"Stupp, Cole",1000051137,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.42292,-1.440847,-3.628738,1989.188942,247.13033,2:15,5.49489,1.34453,6.14777,-25.61667,7.69162,15.63005,2.02585,-0.71045,83.34379,-6.229096,-0.814385,0.415382,78.22855,56.712616,-19.091708,,95.15876,107.1178,-55.17933,200.71209,,-33.023482,5.040491,-9.19355,4.71146,-1.07626,50,5.3718,7.76648,-132.59331,-4.18903,-16.2907,29.58287,-23.82549,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,9fa512f0-ac8b-11ec-b4cf-d30d24564f9a,90.74168,107.19158,,8.07914,,,,2.26496,2.30182,0.68079,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:33:41.41,2022-03-25T18:33:41.4116022-04:00,2022-03-25T22:33:41.4116022Z,Popup,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,0a6a424f-ba91-41c2-bb28-fccd9c0e065f,54.35206,-133.56077,14.79143,5.49606,-3.40986,-11.91275,-1.33897,8.29924,-8.14535,143.0917,2.29667,58.78716,-11.43504,-1.44155,3.97137,-2.10344,0.54111,-0.06885,0.00346,2.31964,95.56452,-25.40362,0.84597,1.1367,-0.59261,0.13468,-0.0148,0.00063,0.68947,-20.85276,-3.31284,-0.23915,1.87076,-1.16546,0.33354,-0.04599,0.00246,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2022-03-25,18:34:15.91,2,1,"Stupp, Cole",1000051137,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.5276,-1.330289,-3.127612,2031.720466,248.668684,2:15,5.27396,1.52758,6.19972,-25.77427,7.29496,15.94804,1.89605,-0.0334,83.61276,-6.147826,-0.250863,0.413889,,,,,,,,,,,,-9.19662,4.47075,-1.30026,50,5.16079,6.60561,-132.85238,-3.93978,-16.39186,29.18192,-24.20549,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,b4300400-ac8b-11ec-b4cf-d30d24564f9a,91.06901,,,7.91484,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:34:15.91,2022-03-25T18:34:15.9174326-04:00,2022-03-25T22:34:15.9174326Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,8b3347d7-940f-45dc-a437-f47577b24559,54.30016,-133.79361,14.59096,5.27528,-3.15907,-12.10274,-1.52184,7.1343,-8.19593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-25,18:34:34.43,2,2,"Stupp, Cole",1000051137,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27072,-0.485428,-4.408907,2135.252256,250.16126,2:15,5.31803,1.52494,6.04578,-24.90911,7.78705,18.72288,2.79153,-1.00463,84.33258,-5.133547,-1.049985,0.411547,,,,,,,,,,,,-10.79847,4.46118,-1.19075,50,5.26674,9.50208,-133.76751,-1.98811,-19.59884,28.4016,-24.07712,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,bf442ab0-ac8b-11ec-b4cf-d30d24564f9a,91.58711,,,7.93813,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:34:34.43,2022-03-25T18:34:34.4369846-04:00,2022-03-25T22:34:34.4369846Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,a5a51978-3531-494a-8486-6e21e58d1444,54.45352,-134.70976,14.2008,5.31945,-1.18932,-12.03856,-1.51678,10.15229,-9.79942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-25,18:34:46.25,2,3,"Stupp, Cole",1000051137,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.09851,1.615523,0.615113,2502.40832,47.981538,7:30,5.46651,1.70779,5.30836,-61.05243,-12.86989,-15.97383,1.89573,0.95404,70.82881,-9.432855,-2.228117,0.499593,,,,,,,,,,,,8.17374,-6.44634,-1.75161,50,5.56856,-0.57307,-111.96204,1.0246,10.31977,21.22594,-40.31285,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,c658c220-ac8b-11ec-b4cf-d30d24564f9a,75.4463,,,6.26971,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:34:46.25,2022-03-25T18:34:46.2558902-04:00,2022-03-25T22:34:46.2558902Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,16e9dc38-0aa4-4100-be16-53d453c4fb5f,55.19474,-112.94258,10.61297,5.47822,2.88686,-20.15643,-1.71413,-1.0498,5.15989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-03-25,18:34:59.35,2,4,"Stupp, Cole",1000051137,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,92.12998,-0.603247,-2.048325,2165.214451,259.50871,2:45,5.38908,1.59477,6.04663,-28.53856,4.405,17.81383,2.45202,1.18216,83.74599,-5.91689,1.159856,0.413101,50.88292,-35.981045,-66.300604,,,,,5.10234,,-57.586352,0.055368,-9.8117,2.77166,-1.44483,50,5.32679,4.02326,-133.76842,-2.40651,-17.62746,31.14232,-27.19458,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,ce1de4e0-ac8b-11ec-b4cf-d30d24564f9a,91.24258,2.44416,,8.38399,,,,1.3819,2.44416,-1.22486,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:34:59.35,2022-03-25T18:34:59.3551542-04:00,2022-03-25T22:34:59.3551542Z,GroundBall,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,4c0ba613-6071-4e59-9741-779d4b9368f3,54.4526,-134.80103,15.57116,5.39163,-1.5048,-13.59729,-1.58792,4.60775,-8.81373,,1.38042,24.43836,,,,,,,,2.44682,-44.144,,,,,,,,-1.22151,-55.67373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2022-03-25,18:35:16.89,2,5,"Stupp, Cole",1000051137,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.29763,0.98491,-1.738171,2345.808986,65.833189,8:15,5.23336,1.76329,5.66332,-49.52223,-6.44178,-17.55481,2.02542,-1.3209,74.14932,-8.067254,-4.875313,0.472402,,,,,,,,,,,,8.33835,-3.11614,-1.60521,50,5.28565,4.2839,-117.96835,0.31421,11.6043,25.04522,-36.51069,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,d89fb6a0-ac8b-11ec-b4cf-d30d24564f9a,79.78894,,,7.14831,,,,,,,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:35:16.89,2022-03-25T18:35:16.8980000-04:00,2022-03-25T22:35:16.8980000Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,3018e1a8-123c-48f1-8c51-e37b7af412e5,54.83663,-118.99076,12.52261,5.2424,1.80467,-18.25535,-1.77042,3.81019,5.80215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6853,2.414706,0.926669,1.488037,-0.56998,1.73632,1.49241,-5.6153,3.09158,3.52299,71.99033,6.61995,52.79118,-5.42243,58.51281,-4.3404,3.2503,23.90476,-14.52,3.57544,35.49996,-1.62469,High,High,High,,,High,Medium,High
10,2022-03-25,18:35:50.65,3,1,"Stupp, Cole",1000051137,Right,KEN_WIL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,2,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.67158,-0.08121,-2.478441,2190.666293,253.774245,2:30,5.4548,1.42342,6.09142,-26.83509,6.39418,18.12784,3.14336,0.6401,83.20423,-5.1014,0.786334,0.414889,74.20736,29.309488,-160.687865,3503.649645,,,,,,,,-10.15461,3.63685,-1.24201,50,5.43437,5.00141,-133.08587,-1.09658,-18.05576,30.85546,-25.70742,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220325-UKentucky-1,ecb06ea0-ac8b-11ec-b4cf-d30d24564f9a,90.84946,24.85445,,8.46735,,,,3.13662,3.26844,-0.61149,acb59f12-290d-4da6-93c8-b64403a9375c,2022-03-25,22:35:50.65,2022-03-25T18:35:50.6588854-04:00,2022-03-25T22:35:50.6588854Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,8e0fd57a-818e-4ad3-9e54-2f67e5d9a770,54.4082,-134.104,15.42773,5.45656,-0.24832,-12.85371,-1.41687,5.5972,-9.02788,5.421767,3.13662,-89.56457,6.31649,0.66076,-0.48686,0.81938,-1.40821,1.37127,-0.52661,3.26844,53.27893,-31.92685,4.75078,-1.56829,2.14222,-3.7147,3.51853,-1.28071,-0.61149,-31.38639,3.36033,-0.24203,0.03272,-0.04724,0.09883,-0.08591,0.02476,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
