PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-26,14:02:23.15,1,1,"Williams, Darren",8901305,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50312,-4.159195,-3.82049,2316.021323,218.918815,1:15,6.34583,2.52455,5.93701,-17.44241,17.5695,13.27202,1.01845,0.08106,82.08823,-7.447557,-1.442358,0.425872,,,,,,,,,,,,-7.87331,10.50044,-2.22704,50,6.00299,8.09727,-129.48587,-9.95548,-13.39663,26.48057,-14.30726,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,e3799660-ad2e-11ec-a6f1-8ff79e2a1374,88.50648,,,7.41489,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:02:23.15,2022-03-26T14:02:23.1541634-04:00,2022-03-26T18:02:23.1541634Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,7019e48d-080c-4e8b-974d-97243e2c4fdc,54.56231,-130.41555,13.24029,6.34369,-9.45318,-7.15363,-2.51957,8.5676,-6.69832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-26,14:02:34.19,1,2,"Williams, Darren",8901305,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.69629,-2.7662,-5.610635,2197.146009,237.442875,2:00,5.79069,2.90887,6.1111,-20.92564,12.97969,18.62741,1.47481,-0.74337,83.07373,-6.695617,-2.273953,0.419088,,,,,,,,,,,,-11.13638,7.77626,-2.48674,50,5.56627,12.11127,-131.13217,-7.02007,-19.45076,26.93069,-18.5921,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,ea0c2c90-ad2e-11ec-a6f1-8ff79e2a1374,89.93919,,,7.62256,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:02:34.19,2022-03-26T14:02:34.1955970-04:00,2022-03-26T18:02:34.1955970Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,a200114f-acd7-4e51-98f5-644155feece6,54.38884,-132.03043,13.46535,5.79008,-6.39994,-9.29605,-2.90153,12.76004,-9.72538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-26,14:02:47.44,1,3,"Williams, Darren",8901305,Right,KEN_WIL,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,90.54076,-2.897861,-3.901762,2059.584535,244.306324,2:15,6.31737,2.4413,5.77517,-24.74285,9.86489,18.04501,1.5504,0.30879,82.45813,-7.494258,-0.675034,0.423407,77.87215,3.160914,4.818888,1115.993681,,,,52.12409,,4.047341,0.460583,-10.39823,6.23366,-2.12987,50,6.06245,8.1606,-131.03827,-7.4987,-17.96526,29.32865,-21.404,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,f1f0e540-ad2e-11ec-a6f1-8ff79e2a1374,89.02177,2.09027,,8.08263,,,,2.24912,1.64328,-0.30739,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:02:47.44,2022-03-26T14:02:47.4400130-04:00,2022-03-26T18:02:47.4400130Z,GroundBall,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,e1716e24-4607-40e2-97c5-0d67fd92a02d,54.72412,-132.09138,14.66432,6.31791,-6.73015,-10.702,-2.43447,8.80568,-8.98263,10.655521,2.25381,113.49894,-11.97279,,,,,,,1.6534,6.00379,-20.87484,,,,,,,-0.30604,9.54053,-1.93506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2022-03-26,14:03:25.21,2,1,"Williams, Darren",8901305,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.1981,-2.429165,-4.262278,2336.774111,227.051785,1:30,5.87232,2.97441,5.9912,-19.69332,14.49296,14.44572,1.9724,0.22089,82.92424,-6.12599,-1.673365,0.420821,,,,,,,,,,,,-8.53083,8.40335,-2.64583,50,5.6693,9.13686,-130.70532,-6.17534,-14.85413,25.86276,-17.54187,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,087a1750-ad2f-11ec-a6f1-8ff79e2a1374,89.56884,,,7.27386,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:03:25.21,2022-03-26T14:03:25.2178306-04:00,2022-03-26T18:03:25.2178306Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,49fc6fa5-45c2-4041-bb82-84dfae320652,54.5082,-131.59434,12.93138,5.87121,-5.57235,-8.77094,-2.96868,9.64746,-7.42707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-03-26,14:03:46.11,2,2,"Williams, Darren",8901305,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.40487,-2.722115,-5.011476,2244.87683,229.570635,1:45,5.97781,2.77285,5.94108,-19.61796,14.79083,16.02725,1.8063,-0.55218,82.53221,-6.415491,-2.146459,0.422188,68.75354,37.139266,151.622312,4546.300331,,,,,,,,-9.64705,8.69319,-2.38168,50,5.74889,10.79004,-130.75009,-6.85314,-16.68811,27.75149,-17.13594,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,14e7b380-ad2f-11ec-a6f1-8ff79e2a1374,89.27877,32.13579,,7.87266,,,,1.22649,1.75795,0.53009,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:03:46.11,2022-03-26T14:03:46.1176706-04:00,2022-03-26T18:03:46.1176706Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,aaab6476-77cc-4888-bbe7-27c22b1bee1c,54.55814,-131.71399,13.87575,5.97658,-6.25795,-8.56797,-2.76652,11.36968,-8.34406,307.884894,1.22649,-70.72562,2.36788,0.4929,-0.24746,-0.07382,0.24434,-0.21427,0.07311,1.75795,60.88161,-26.43648,3.00677,-0.53133,0.07335,-0.01239,0.0035,-0.00084,0.53009,38.20594,-11.96881,3.79136,-0.83602,-0.15186,0.51356,-0.44649,0.15172,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2022-03-26,14:04:08.12,2,3,"Williams, Darren",8901305,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.20788,-0.437436,-4.433637,2284.535949,219.466989,1:15,6.10119,2.7544,6.17921,-19.00009,15.75166,12.08422,4.11268,-0.34107,81.6255,-4.042421,-2.262879,0.424287,,,,,,,,,,,,-7.3939,8.58126,-2.42462,50,6.0582,9.52782,-129.32573,-1.53715,-12.5716,25.97638,-17.58362,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,220abd00-ad2f-11ec-a6f1-8ff79e2a1374,88.83714,,,7.58239,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:04:08.12,2022-03-26T14:04:08.1271170-04:00,2022-03-26T18:04:08.1271170Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,32faa2a8-eb13-48ff-b7d3-5ca8ff2f8890,54.31846,-130.19025,12.98819,6.09962,-0.95195,-8.79181,-2.74867,9.94622,-6.2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-26,14:04:42.31,3,1,"Williams, Darren",8901305,Right,KEN_WIL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.29629,-0.527173,-3.08179,1879.052871,248.432699,2:15,6.4291,2.606,5.98483,-33.82029,7.39233,15.34623,3.1214,1.02572,75.30925,-6.806725,-0.324378,0.462047,,,,,,,,,,,,-8.73508,4.35784,-2.37089,50,6.36883,5.83469,-119.42483,-2.16124,-12.59427,23.35611,-25.89093,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,36749180-ad2f-11ec-a6f1-8ff79e2a1374,81.57701,,,6.98705,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:04:42.31,2022-03-26T14:04:42.3195522-04:00,2022-03-26T18:04:42.3195522Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,7fd627e8-e0cc-4e0c-942c-a80e06225017,54.51366,-120.30433,11.67805,6.43186,-1.18629,-12.94547,-2.59953,6.30894,-6.29714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-03-26,14:05:25.19,3,2,"Williams, Darren",8901305,Right,KEN_WIL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,1,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.52989,-0.750435,-4.203619,2344.459935,239.25983,2:00,5.96901,2.94325,6.3472,-22.70485,10.73831,16.34776,3.38424,0.42905,83.06939,-5.023184,-1.253743,0.416222,69.4657,33.036023,-132.721763,3589.03337,,,,,,,,-9.68977,6.10158,-2.64523,50,5.90357,9.01586,-131.38811,-2.42186,-17.01707,26.62239,-21.45849,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,4feec900-ad2f-11ec-a6f1-8ff79e2a1374,90.55846,30.3559,,7.4605,,,,1.82443,3.28946,-0.32817,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:05:25.19,2022-03-26T14:05:25.1958658-04:00,2022-03-26T18:05:25.1958658Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,d49c50c6-7a69-45cb-bb9f-c542d6dd2964,54.15359,-132.22705,13.31119,5.96923,-1.74565,-10.72925,-2.93779,9.55211,-8.50853,43.834713,1.82443,-57.94619,-0.09107,1.05558,-0.67127,1.48466,-2.77334,2.75807,-1.08457,3.28946,55.5432,-25.09907,2.74695,-0.91464,1.35573,-2.45405,2.42032,-0.94436,-0.32817,-62.74804,8.63563,-1.26318,0.46249,-0.83908,1.58476,-1.56307,0.60799,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2022-03-26,14:05:50.43,3,3,"Williams, Darren",8901305,Right,KEN_WIL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.74381,0.602422,-1.826022,2358.615188,222.368571,1:30,5.85375,2.99536,5.97825,-16.29028,18.76324,16.19615,5.05496,2.65179,81.5695,-2.502548,1.083859,0.426125,,,,,,,,,,,,-8.7263,9.77697,-2.85959,50,5.89209,3.43089,-129.00349,0.90305,-14.835,24.61942,-15.55291,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,5f064f80-ad2f-11ec-a6f1-8ff79e2a1374,88.45389,,,7.17431,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:05:50.43,2022-03-26T14:05:50.4394626-04:00,2022-03-26T18:05:50.4394626Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,f5e72370-c020-4a5c-ab45-b30e8ddef825,54.52034,-129.8633,12.30971,5.85107,1.44622,-7.77645,-2.98845,3.94899,-7.4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-03-26,14:06:12.22,3,4,"Williams, Darren",8901305,Right,KEN_WIL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,1,Top,1,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,73.02152,2.058367,-1.384257,2524.626535,35.61481,7:15,6.23336,2.68115,5.19583,-66.66141,-12.78721,-10.34489,2.6158,0.51676,67.36052,-9.96422,-3.219825,0.528277,,,,,,,,,,,,4.76882,-6.47681,-2.54467,50,6.37341,2.94931,-105.99506,1.58517,5.40976,18.60139,-39.52133,KEN_WIL,GEO_BUL,UKentucky,D1,SEC,20220326-UKentucky-1,6c18de40-ad2f-11ec-a6f1-8ff79e2a1374,71.34975,,,5.66099,,,,,,,767cee66-c9ac-40a8-8f7d-77b7428d39d2,2022-03-26,18:06:12.22,2022-03-26T14:06:12.2252162-04:00,2022-03-26T18:06:12.2252162Z,,v3,,,,"Rubalcaba, Alonzo",1000049204,Right,KEN_WIL,312eb434-ac21-42ea-9d43-8538ed7cf365,55.30746,-106.92242,9.3007,6.24527,3.55549,-19.76067,-2.68498,2.67961,2.70488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
