PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-04-30,14:02:37.22,1,1,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.29271,-3.405406,0.134086,2190.571808,222.349594,1:30,6.59311,0.61675,5.46339,-18.13194,14.61233,12.3528,1.89084,1.77166,85.38002,-6.778794,2.334645,0.41185,,,,,,,,,,,,-6.19055,8.64666,-0.63728,50,6.28066,-0.8897,-135.22208,-8.67912,-11.4473,29.84199,-16.18505,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,1a018e50-c8b8-11ec-b80c-69f4ffc11f6f,91.51983,,,7.91269,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:02:37.22,2022-04-30T14:02:37.2283870-05:00,2022-04-30T19:02:37.2283870Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,05517848-8b7a-4834-818a-5a34ad7a98b9,55.03809,-136.32939,14.92099,6.59157,-8.07855,-8.09253,-0.61214,-0.46494,-5.72365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-04-30,14:02:54.61,1,2,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.33672,-3.366275,1.086909,2350.024099,209.674822,1:00,6.59579,0.51395,5.51361,-11.87733,20.77603,11.23414,2.45388,2.46665,85.30176,-5.638404,3.087391,0.411278,,,,,,,,,,,,-5.33433,11.72501,-0.61632,50,6.29409,-3.09357,-135.26153,-8.28954,-9.87592,29.68606,-10.46647,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,245fab70-c8b8-11ec-b80c-69f4ffc11f6f,91.64709,,,8.03496,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:02:54.61,2022-04-30T14:02:54.6140638-05:00,2022-04-30T19:02:54.6140638Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,dbaa0c25-9923-4c48-90d9-1c6e93dd78ea,54.98676,-136.35159,14.84303,6.59142,-7.90522,-5.23323,-0.50938,-2.73093,-4.93796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-04-30,14:03:13.19,1,3,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.39954,-2.043378,0.396615,2244.510925,205.728148,12:45,6.53877,0.73125,5.34199,-12.24949,20.61588,9.40501,3.60016,1.88708,84.91459,-4.396079,2.066898,0.412611,,,,,,,,,,,,-4.57351,11.23028,-0.7739,50,6.34604,-1.39018,-135.42106,-5.18712,-8.45587,30.7804,-11.41061,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,2f72c0b0-c8b8-11ec-b80c-69f4ffc11f6f,91.35106,,,8.48495,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:03:13.19,2022-04-30T14:03:13.1941342-05:00,2022-04-30T19:03:13.1941342Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,4362bc59-476d-44a9-953f-3c0733d50394,55.15758,-136.58831,15.3902,6.53454,-4.75441,-5.70531,-0.72726,-1.06952,-4.22793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-04-30,14:03:34.27,1,4,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.9645,-3.591977,0.161115,2308.750681,207.158658,1:00,6.63498,0.1865,5.24749,-10.76481,21.82458,10.64087,2.3578,1.22465,85.68634,-5.662822,2.047616,0.410875,,,,,,,,,,,,-5.2628,12.24032,-0.20949,50,6.29724,-0.8969,-136.09779,-8.84657,-9.85156,30.41594,-9.26104,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,3c04adc0-c8b8-11ec-b80c-69f4ffc11f6f,91.73709,,,8.27816,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:03:34.27,2022-04-30T14:03:34.2708190-05:00,2022-04-30T19:03:34.2708190Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,ca5cc44e-b407-4f32-ac89-d190de049e8e,55.25332,-137.26681,15.20797,6.63041,-8.49062,-4.63052,-0.1823,-0.51825,-4.92578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-04-30,14:03:52.88,1,5,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.24574,-2.965077,-0.654684,2209.285674,208.469895,1:00,6.59074,0.43193,5.2435,-11.07697,21.32438,10.9754,2.87826,0.73121,85.77952,-5.098824,1.29126,0.409688,,,,,,,,,,,,-5.54855,11.70638,-0.37959,50,6.30977,0.99836,-136.50438,-7.36451,-10.45052,30.54689,-10.1254,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,47207590-c8b8-11ec-b80c-69f4ffc11f6f,92.00283,,,8.46623,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:03:52.88,2022-04-30T14:03:52.8886750-05:00,2022-04-30T19:03:52.8886750Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,d9741a9f-0aca-4917-a16f-568ba586c71f,55.25325,-137.67493,15.27345,6.58454,-6.97651,-5.0627,-0.42552,1.39882,-5.22526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-04-30,14:04:19.37,1,6,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.18518,-2.918962,-0.142365,2299.913171,203.426169,12:45,6.63896,0.40976,5.45944,-10.04697,22.30017,9.17048,3.06695,1.0407,85.2725,-4.888513,1.489945,0.409345,,,,,,,,,,,,-4.54717,12.29946,-0.40305,50,6.37434,-0.12386,-136.38135,-7.1719,-8.50097,32.06464,-9.18016,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,56e441a0-c8b8-11ec-b80c-69f4ffc11f6f,92.07992,,,8.91268,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:04:19.37,2022-04-30T14:04:19.3710558-05:00,2022-04-30T19:04:19.3710558Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,d60526d3-379b-4ab0-bcf2-d295a5b20e6d,55.0359,-137.56025,16.03232,6.63182,-6.83438,-4.59008,-0.40425,0.18869,-4.25048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-04-30,14:04:46.16,1,7,"Money, Blake",690999,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.48494,-1.818602,0.160841,2129.450881,222.053607,1:30,6.57711,0.36123,5.41418,-15.21355,16.84363,14.22513,3.60494,1.69735,85.87014,-4.695678,2.691035,0.407506,,,,,,,,,,,,-7.09244,9.3213,-0.38574,50,6.4051,-1.0652,-137.03736,-4.85544,-13.40232,32.05671,-14.5599,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,66e1e260-c8b8-11ec-b80c-69f4ffc11f6f,92.4954,,,8.6148,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:04:46.16,2022-04-30T14:04:46.1637598-05:00,2022-04-30T19:04:46.1637598Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,5846f248-cc29-415c-b1e7-c15605401a47,55.08647,-138.2221,16.02835,6.5746,-4.31734,-7.27995,-0.35553,-0.56988,-6.70116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-04-30,14:05:28.33,2,1,"Money, Blake",690999,Right,LSU_TIG,"Acton, Cory",1000013578,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,2,,92.84814,-2.842209,-1.841681,2051.65098,236.988843,2:00,6.45472,0.71823,5.4085,-22.27596,10.92705,15.1219,1.93176,0.25219,84.73531,-6.960167,0.849702,0.414725,95.94455,26.937552,-19.115756,3822.637156,101.34225,50.28717,-42.77399,350.47891,,-30.63551,4.474783,-8.17162,6.64733,-0.56528,50,6.18597,3.62841,-134.55565,-7.50616,-14.91928,30.32678,-20.03776,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,80019dd0-c8b8-11ec-b80c-69f4ffc11f6f,90.88537,67.333,,8.11283,,,,1.61951,2.11908,-0.27023,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:05:28.33,2022-04-30T14:05:28.3344862-05:00,2022-04-30T19:05:28.3344862Z,FlyBall,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,5ec1f23e-f782-4bfc-af71-b3bf4f69b43e,55.09373,-135.69884,15.16339,6.45469,-6.75081,-10.01888,-0.71265,4.19081,-7.45964,141.550972,1.6199,118.52443,-25.30494,6.18174,-1.33511,0.28176,-0.05663,0.0079,-0.00048,2.12014,63.72225,-16.48992,0.1651,0.37579,-0.21093,0.06196,-0.00895,0.0005,-0.2696,-41.09927,-1.52761,1.08535,-0.2701,0.034,-0.00117,-0.00021,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-04-30,14:06:22.42,3,1,"Money, Blake",690999,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,0,0,0,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.76819,-0.583787,0.135736,2214.172377,69.746955,8:15,6.31916,0.76554,5.39119,-45.26042,-1.12051,-7.20193,2.00027,0.2926,73.51857,-8.840507,-1.148001,0.478175,,,,,,,,,,,,3.64429,0.1148,-0.77251,50,6.23547,0.02059,-117.12879,-2.78891,4.9973,24.79038,-32.01664,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,a0492a90-c8b8-11ec-b80c-69f4ffc11f6f,78.82557,,,7.24961,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:06:22.42,2022-04-30T14:06:22.4216030-05:00,2022-04-30T19:06:22.4216030Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,ad3c8421-ed78-4b67-948b-b831a486cee6,55.10919,-118.20521,12.39519,6.32638,-1.39873,-16.00832,-0.76869,-0.1964,2.49865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-04-30,14:06:38.81,3,2,"Money, Blake",690999,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.23055,-3.218529,-1.098483,2302.569161,231.259263,1:45,6.62797,0.32886,5.22844,-19.59064,12.993,14.79528,1.96589,0.52898,85.66207,-6.850116,1.526298,0.410838,,,,,,,,,,,,-7.67437,7.77827,-0.23895,50,6.3167,1.88856,-136.42794,-8.40227,-14.3589,32.05082,-17.62073,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220430-LSU-1,aa036690-c8b8-11ec-b80c-69f4ffc11f6f,91.74517,,,8.56847,,,,,,,8d0167de-9438-4250-9b45-e3234580c20a,2022-04-30,19:06:38.81,2022-04-30T14:06:38.8136414-05:00,2022-04-30T19:06:38.8136414Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,1a38a172-e592-40a9-99f3-107254e3cd85,55.27143,-137.66078,16.02541,6.62686,-7.72449,-8.81036,-0.32221,2.44088,-7.17945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
